NAME,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MPG,PER,TEAM,SALARY,YEAR,POS,Segment
T.J. McConnell,29,24,6.0,581,91,181,0.503,7.0,25.0,0.28,12,15,0.8,19.0,61.0,80.0,115,25.0,9.0,28.0,43,201,24.21,14.38,Indiana Pacers,7500000,2022, PG,Worst
Jaden McDaniels,21,58,24.0,1509,204,457,0.446,60.0,205.0,0.293,47,59,0.797,68.0,178.0,246.0,68,47.0,40.0,61.0,189,515,26.02,10.68,Minnesota Timberwolves,2063280,2022, PF,Underperforming
Jalen McDaniels,24,39,2.0,685,97,197,0.492,32.0,86.0,0.372,31,46,0.674,29.0,107.0,136.0,43,20.0,16.0,30.0,70,257,17.56,13.52,Charlotte Hornets,1782621,2022, PF,Underperforming
Doug McDermott,30,45,45.0,1101,200,427,0.468,100.0,232.0,0.431,29,38,0.763,17.0,93.0,110.0,54,11.0,4.0,35.0,70,529,24.47,13.22,San Antonio Spurs,13750000,2022, SF,Average
JaVale McGee,34,54,14.0,867,226,348,0.649,2.0,7.0,0.286,74,108,0.685,123.0,248.0,371.0,34,18.0,53.0,77.0,133,528,16.06,24.58,Phoenix Suns,5000000,2022, C,Average
Jordan McLaughlin,25,43,3.0,545,47,125,0.376,10.0,49.0,0.204,23,31,0.742,10.0,48.0,58.0,116,29.0,4.0,23.0,25,127,12.67,11.73,Minnesota Timberwolves,2000000,2022, PG,Underperforming
Ben McLemore,29,43,6.0,805,129,331,0.39,96.0,263.0,0.365,29,37,0.784,11.0,57.0,68.0,38,18.0,5.0,29.0,62,383,18.72,10.79,Portland Trail Blazers,1669178,2022, SG,Worst
De'Anthony Melton,23,53,13.0,1201,190,492,0.386,85.0,249.0,0.341,61,84,0.726,53.0,188.0,241.0,144,86.0,28.0,75.0,88,526,22.66,16.17,Memphis Grizzlies,8805976,2022, SG,Underperforming
Chimezie Metu,24,42,20.0,931,143,328,0.436,40.0,143.0,0.28,51,66,0.773,28.0,218.0,246.0,47,35.0,24.0,42.0,60,377,22.17,13.37,Sacramento Kings,1762796,2022, PF,Underperforming
Khris Middleton,30,49,49.0,1577,324,734,0.441,112.0,311.0,0.36,197,224,0.879,31.0,236.0,267.0,260,57.0,13.0,143.0,123,957,32.18,18.34,Milwaukee Bucks,35500000,2022, SF,Overperforming
Patty Mills,33,60,42.0,1848,274,656,0.418,186.0,452.0,0.412,43,53,0.811,15.0,113.0,128.0,154,44.0,16.0,58.0,87,777,30.8,12.08,Brooklyn Nets,5890000,2022, PG,Average
Shake Milton,25,32,6.0,766,118,286,0.413,25.0,86.0,0.291,49,56,0.875,19.0,79.0,98.0,91,22.0,12.0,38.0,65,310,23.94,11.81,Philadelphia 76ers,1846738,2022, SG,Underperforming
Davion Mitchell,23,55,8.0,1418,229,573,0.4,75.0,236.0,0.318,25,44,0.568,30.0,97.0,127.0,187,40.0,17.0,68.0,103,558,25.78,10.7,Sacramento Kings,4603320,2022, PG,Underperforming
Donovan Mitchell,25,47,47.0,1572,437,953,0.459,160.0,448.0,0.357,183,210,0.871,42.0,154.0,196.0,244,76.0,12.0,139.0,114,1217,33.45,24.29,Utah Jazz,28103500,2022, SG,Best
Evan Mobley,20,52,52.0,1775,311,622,0.5,18.0,69.0,0.261,129,190,0.679,100.0,322.0,422.0,133,42.0,87.0,101.0,106,769,34.13,15.76,Cleveland Cavaliers,8075160,2022, C,Overperforming
Malik Monk,24,53,19.0,1432,251,536,0.468,117.0,297.0,0.394,62,80,0.775,23.0,151.0,174.0,133,38.0,20.0,72.0,90,681,27.02,14.02,Los Angeles Lakers,1669178,2022, SG,Underperforming
Ja Morant,22,48,48.0,1597,482,983,0.49,72.0,217.0,0.332,263,347,0.758,66.0,215.0,281.0,323,59.0,19.0,165.0,70,1299,33.27,27.55,Memphis Grizzlies,9603360,2022, PG,Best
Monte Morris,26,54,53.0,1623,279,577,0.484,92.0,234.0,0.393,48,56,0.857,20.0,140.0,160.0,232,37.0,9.0,56.0,65,698,30.06,14.71,Denver Nuggets,8449074,2022, PG,Average
Marcus Morris Sr.,32,37,37.0,1107,217,493,0.44,76.0,199.0,0.382,83,98,0.847,20.0,156.0,176.0,79,21.0,11.0,47.0,86,593,29.92,15.23,Los Angeles Clippers,15627907,2022, SF,Average
