Away,Home,Time / TV,date
Golden State Warriors,Denver Nuggets,10:00 pm  TNT,2022-03-10
Washington Wizards,Los Angeles Lakers,10:30 pm  NBAt,2022-03-11
Toronto Raptors,Phoenix Suns,9:00 pm,2022-03-11
Utah Jazz,San Antonio Spurs,8:30 pm,2022-03-11
New York Knicks,Memphis Grizzlies,8:00 pm  NBAt,2022-03-11
Cleveland Cavaliers,Miami Heat,8:00 pm,2022-03-11
Detroit Pistons,Boston Celtics,7:30 pm,2022-03-11
Charlotte Hornets,New Orleans Pelicans,8:00 pm,2022-03-11
Los Angeles Clippers,Atlanta Hawks,7:30 pm,2022-03-11
Minnesota Timberwolves,Orlando Magic,7:00 pm,2022-03-11
Dallas Mavericks,Houston Rockets,8:00 pm,2022-03-11
Sacramento Kings,Utah Jazz,9:00 pm,2022-03-12
Washington Wizards,Portland Trail Blazers,10:00 pm,2022-03-12
Toronto Raptors,Denver Nuggets,9:00 pm,2022-03-12
Cleveland Cavaliers,Chicago Bulls,8:00 pm,2022-03-12
Indiana Pacers,San Antonio Spurs,8:00 pm,2022-03-12
Minnesota Timberwolves,Miami Heat,8:00 pm,2022-03-12
Milwaukee Bucks,Golden State Warriors,8:30 pm  ABC,2022-03-12
New York Knicks,Brooklyn Nets,1:00 pm  ABC,2022-03-13
Los Angeles Clippers,Detroit Pistons,3:00 pm,2022-03-13
Dallas Mavericks,Boston Celtics,3:30 pm  ABC,2022-03-13
Philadelphia 76ers,Orlando Magic,6:00 pm,2022-03-13
Indiana Pacers,Atlanta Hawks,7:00 pm,2022-03-13
Houston Rockets,New Orleans Pelicans,7:00 pm,2022-03-13
Memphis Grizzlies,Oklahoma City Thunder,7:00 pm,2022-03-13
Los Angeles Lakers,Phoenix Suns,9:00 pm  ESPN,2022-03-13
Chicago Bulls,Sacramento Kings,10:00 pm,2022-03-14
Toronto Raptors,Los Angeles Lakers,10:30 pm,2022-03-14
Milwaukee Bucks,Utah Jazz,10:00 pm  ESPN,2022-03-14
Washington Wizards,Golden State Warriors,10:00 pm,2022-03-14
Los Angeles Clippers,Cleveland Cavaliers,7:00 pm,2022-03-14
Charlotte Hornets,Oklahoma City Thunder,8:00 pm,2022-03-14
Denver Nuggets,Philadelphia 76ers,8:00 pm  ESPN,2022-03-14
Portland Trail Blazers,Atlanta Hawks,7:30 pm,2022-03-14
Minnesota Timberwolves,San Antonio Spurs,8:30 pm,2022-03-14
Memphis Grizzlies,Indiana Pacers,7:00 pm,2022-03-15
Brooklyn Nets,Orlando Magic,7:00 pm,2022-03-15
Detroit Pistons,Miami Heat,7:30 pm,2022-03-15
Phoenix Suns,New Orleans Pelicans,8:00 pm  NBAt,2022-03-15
Toronto Raptors,Los Angeles Clippers,10:30 pm,2022-03-16
Milwaukee Bucks,Sacramento Kings,10:00 pm,2022-03-16
Boston Celtics,Golden State Warriors,10:00 pm  ESPN,2022-03-16
Chicago Bulls,Utah Jazz,9:00 pm,2022-03-16
Oklahoma City Thunder,San Antonio Spurs,8:30 pm,2022-03-16
Los Angeles Lakers,Minnesota Timberwolves,8:00 pm,2022-03-16
Portland Trail Blazers,New York Knicks,7:30 pm,2022-03-16
Dallas Mavericks,Brooklyn Nets,7:30 pm  ESPN,2022-03-16
Atlanta Hawks,Charlotte Hornets,7:00 pm,2022-03-16
Philadelphia 76ers,Cleveland Cavaliers,7:00 pm,2022-03-16
Denver Nuggets,Washington Wizards,7:00 pm,2022-03-16
Phoenix Suns,Houston Rockets,8:00 pm,2022-03-16
Detroit Pistons,Orlando Magic,7:00 pm  NBAt,2022-03-17
Oklahoma City Thunder,Miami Heat,8:00 pm,2022-03-18
Boston Celtics,Sacramento Kings,10:00 pm,2022-03-18
Los Angeles Clippers,Utah Jazz,9:00 pm,2022-03-18
New Orleans Pelicans,San Antonio Spurs,8:30 pm,2022-03-18
Indiana Pacers,Houston Rockets,8:00 pm,2022-03-18
Chicago Bulls,Phoenix Suns,10:00 pm  NBAt,2022-03-18
Washington Wizards,New York Knicks,7:30 pm,2022-03-18
Portland Trail Blazers,Brooklyn Nets,7:30 pm,2022-03-18
Denver Nuggets,Cleveland Cavaliers,7:30 pm,2022-03-18
Memphis Grizzlies,Atlanta Hawks,7:30 pm  NBAt,2022-03-18
Dallas Mavericks,Philadelphia 76ers,7:00 pm,2022-03-18
Los Angeles Lakers,Toronto Raptors,7:30 pm,2022-03-18
Milwaukee Bucks,Minnesota Timberwolves,5:00 pm,2022-03-19
Dallas Mavericks,Charlotte Hornets,7:00 pm  NBAt,2022-03-19
Detroit Pistons,Cleveland Cavaliers,8:00 pm,2022-03-19
Los Angeles Lakers,Washington Wizards,8:00 pm,2022-03-19
San Antonio Spurs,Golden State Warriors,8:30 pm,2022-03-20
Boston Celtics,Denver Nuggets,8:00 pm,2022-03-20
Utah Jazz,New York Knicks,7:30 pm,2022-03-20
Phoenix Suns,Sacramento Kings,6:00 pm,2022-03-20
Toronto Raptors,Philadelphia 76ers,8:30 pm,2022-03-20
New Orleans Pelicans,Atlanta Hawks,6:00 pm,2022-03-20
Portland Trail Blazers,Indiana Pacers,3:30 pm,2022-03-20
Memphis Grizzlies,Houston Rockets,3:30 pm,2022-03-20
Oklahoma City Thunder,Orlando Magic,6:00 pm,2022-03-20
Minnesota Timberwolves,Dallas Mavericks,8:30 pm,2022-03-21
Boston Celtics,Oklahoma City Thunder,8:00 pm,2022-03-21
Toronto Raptors,Chicago Bulls,8:00 pm,2022-03-21
Utah Jazz,Brooklyn Nets,7:30 pm  NBAt,2022-03-21
Washington Wizards,Houston Rockets,8:00 pm,2022-03-21
Miami Heat,Philadelphia 76ers,7:00 pm,2022-03-21
Portland Trail Blazers,Detroit Pistons,7:00 pm,2022-03-21
Los Angeles Lakers,Cleveland Cavaliers,7:00 pm,2022-03-21
New Orleans Pelicans,Charlotte Hornets,7:00 pm,2022-03-21
Golden State Warriors,Orlando Magic,7:00 pm,2022-03-22
Atlanta Hawks,New York Knicks,7:30 pm  TNT,2022-03-22
Chicago Bulls,Milwaukee Bucks,8:00 pm,2022-03-22
Los Angeles Clippers,Denver Nuggets,10:00 pm  TNT,2022-03-22
Phoenix Suns,Minnesota Timberwolves,8:00 pm,2022-03-23
San Antonio Spurs,Portland Trail Blazers,10:00 pm,2022-03-23
Philadelphia 76ers,Los Angeles Lakers,10:00 pm  ESPN,2022-03-23
Orlando Magic,Oklahoma City Thunder,8:00 pm,2022-03-23
Brooklyn Nets,Memphis Grizzlies,7:30 pm  ESPN,2022-03-23
Houston Rockets,Dallas Mavericks,8:30 pm,2022-03-23
Utah Jazz,Boston Celtics,7:30 pm,2022-03-23
New York Knicks,Charlotte Hornets,7:00 pm,2022-03-23
Golden State Warriors,Miami Heat,7:30 pm,2022-03-23
Sacramento Kings,Indiana Pacers,7:00 pm,2022-03-23
Atlanta Hawks,Detroit Pistons,7:00 pm,2022-03-23
Cleveland Cavaliers,Toronto Raptors,7:30 pm,2022-03-24
Chicago Bulls,New Orleans Pelicans,8:00 pm,2022-03-24
Washington Wizards,Milwaukee Bucks,8:00 pm,2022-03-24
Indiana Pacers,Memphis Grizzlies,8:00 pm,2022-03-24
Phoenix Suns,Denver Nuggets,9:00 pm  NBAt,2022-03-24
Philadelphia 76ers,Los Angeles Clippers,10:30 pm  NBAt,2022-03-25
Houston Rockets,Portland Trail Blazers,10:00 pm,2022-03-25
Dallas Mavericks,Minnesota Timberwolves,8:00 pm,2022-03-25
Washington Wizards,Detroit Pistons,7:00 pm,2022-03-25
Golden State Warriors,Atlanta Hawks,7:30 pm  NBAt,2022-03-25
Utah Jazz,Charlotte Hornets,7:00 pm,2022-03-25
New York Knicks,Miami Heat,8:00 pm,2022-03-25
Milwaukee Bucks,Memphis Grizzlies,8:00 pm,2022-03-26
Houston Rockets,Portland Trail Blazers,10:00 pm,2022-03-26
Oklahoma City Thunder,Denver Nuggets,9:00 pm,2022-03-26
Brooklyn Nets,Miami Heat,8:00 pm  NBAt,2022-03-26
San Antonio Spurs,New Orleans Pelicans,5:00 pm,2022-03-26
Indiana Pacers,Toronto Raptors,7:30 pm,2022-03-26
Sacramento Kings,Orlando Magic,7:00 pm,2022-03-26
Chicago Bulls,Cleveland Cavaliers,8:00 pm,2022-03-26
New York Knicks,Detroit Pistons,3:30 pm,2022-03-27
Minnesota Timberwolves,Boston Celtics,6:00 pm,2022-03-27
Philadelphia 76ers,Phoenix Suns,6:00 pm,2022-03-27
Golden State Warriors,Washington Wizards,6:00 pm,2022-03-27
Los Angeles Lakers,New Orleans Pelicans,7:00 pm,2022-03-27
Utah Jazz,Dallas Mavericks,7:30 pm  NBAt,2022-03-27
Charlotte Hornets,Brooklyn Nets,7:30 pm,2022-03-27
San Antonio Spurs,Houston Rockets,8:00 pm,2022-03-28
Oklahoma City Thunder,Portland Trail Blazers,10:00 pm,2022-03-28
Golden State Warriors,Memphis Grizzlies,8:00 pm  NBAt,2022-03-28
Boston Celtics,Toronto Raptors,7:30 pm,2022-03-28
Orlando Magic,Cleveland Cavaliers,7:00 pm,2022-03-28
Sacramento Kings,Miami Heat,7:30 pm,2022-03-28
Denver Nuggets,Charlotte Hornets,7:00 pm,2022-03-28
Atlanta Hawks,Indiana Pacers,7:00 pm,2022-03-28
Chicago Bulls,New York Knicks,7:30 pm,2022-03-28
Milwaukee Bucks,Philadelphia 76ers,7:00 pm,2022-03-29
Chicago Bulls,Washington Wizards,7:00 pm,2022-03-29
Los Angeles Lakers,Dallas Mavericks,7:30 pm  TNT,2022-03-29
Detroit Pistons,Brooklyn Nets,7:30 pm,2022-03-29
Utah Jazz,Los Angeles Clippers,10:00 pm  TNT,2022-03-29
New Orleans Pelicans,Portland Trail Blazers,10:00 pm,2022-03-30
Phoenix Suns,Golden State Warriors,10:00 pm  ESPN,2022-03-30
Memphis Grizzlies,San Antonio Spurs,8:30 pm,2022-03-30
Atlanta Hawks,Oklahoma City Thunder,8:00 pm,2022-03-30
Sacramento Kings,Houston Rockets,8:00 pm,2022-03-30
Minnesota Timberwolves,Toronto Raptors,7:30 pm,2022-03-30
Miami Heat,Boston Celtics,7:30 pm  ESPN,2022-03-30
Orlando Magic,Washington Wizards,7:00 pm,2022-03-30
Denver Nuggets,Indiana Pacers,7:00 pm,2022-03-30
Dallas Mavericks,Cleveland Cavaliers,7:00 pm,2022-03-30
Charlotte Hornets,New York Knicks,7:30 pm,2022-03-30
Philadelphia 76ers,Detroit Pistons,7:00 pm,2022-03-31
Milwaukee Bucks,Brooklyn Nets,7:30 pm  TNT,2022-03-31
Cleveland Cavaliers,Atlanta Hawks,7:30 pm,2022-03-31
Los Angeles Clippers,Chicago Bulls,8:00 pm,2022-03-31
Los Angeles Lakers,Utah Jazz,10:00 pm  TNT,2022-03-31
Phoenix Suns,Memphis Grizzlies,8:00 pm  NBAt,2022-04-01
New Orleans Pelicans,Los Angeles Lakers,10:30 pm  NBAt,2022-04-01
Portland Trail Blazers,San Antonio Spurs,8:30 pm,2022-04-01
Detroit Pistons,Oklahoma City Thunder,8:00 pm,2022-04-01
Minnesota Timberwolves,Denver Nuggets,9:00 pm,2022-04-01
Sacramento Kings,Houston Rockets,8:00 pm,2022-04-01
Toronto Raptors,Orlando Magic,7:00 pm,2022-04-01
Los Angeles Clippers,Milwaukee Bucks,8:00 pm,2022-04-01
Indiana Pacers,Boston Celtics,7:30 pm,2022-04-01
Dallas Mavericks,Washington Wizards,7:00 pm,2022-04-01
Charlotte Hornets,Philadelphia 76ers,12:30 pm,2022-04-02
Cleveland Cavaliers,New York Knicks,1:00 pm,2022-04-02
Brooklyn Nets,Atlanta Hawks,7:30 pm  NBAt,2022-04-02
Miami Heat,Chicago Bulls,8:00 pm,2022-04-02
Utah Jazz,Golden State Warriors,8:30 pm,2022-04-02
New Orleans Pelicans,Los Angeles Clippers,9:30 pm  NBAt,2022-04-03
Golden State Warriors,Sacramento Kings,9:00 pm,2022-04-03
Phoenix Suns,Oklahoma City Thunder,7:00 pm,2022-04-03
Minnesota Timberwolves,Houston Rockets,7:00 pm,2022-04-03
New York Knicks,Orlando Magic,6:00 pm,2022-04-03
Miami Heat,Toronto Raptors,7:00 pm  NBAt,2022-04-03
Detroit Pistons,Indiana Pacers,5:00 pm,2022-04-03
Philadelphia 76ers,Cleveland Cavaliers,6:00 pm,2022-04-03
Washington Wizards,Boston Celtics,1:00 pm,2022-04-03
Portland Trail Blazers,San Antonio Spurs,7:00 pm,2022-04-03
Denver Nuggets,Los Angeles Lakers,3:30 pm  ABC,2022-04-03
Dallas Mavericks,Milwaukee Bucks,1:00 pm  ABC,2022-04-03
Philadelphia 76ers,Indiana Pacers,7:00 pm,2022-04-05
Cleveland Cavaliers,Orlando Magic,7:00 pm,2022-04-05
Charlotte Hornets,Miami Heat,7:30 pm,2022-04-05
Atlanta Hawks,Toronto Raptors,7:30 pm,2022-04-05
Milwaukee Bucks,Chicago Bulls,8:00 pm  NBAt,2022-04-05
Washington Wizards,Minnesota Timberwolves,8:00 pm,2022-04-05
Portland Trail Blazers,Oklahoma City Thunder,8:00 pm,2022-04-05
San Antonio Spurs,Denver Nuggets,9:00 pm,2022-04-05
Memphis Grizzlies,Utah Jazz,9:00 pm,2022-04-05
New Orleans Pelicans,Sacramento Kings,10:00 pm,2022-04-05
Los Angeles Lakers,Phoenix Suns,10:30 pm  NBAt,2022-04-05
Houston Rockets,Brooklyn Nets,7:30 pm,2022-04-05
Phoenix Suns,Los Angeles Clippers,10:00 pm  ESPN,2022-04-06
Oklahoma City Thunder,Utah Jazz,9:00 pm,2022-04-06
Boston Celtics,Chicago Bulls,8:00 pm,2022-04-06
Brooklyn Nets,New York Knicks,7:30 pm  ESPN,2022-04-06
Dallas Mavericks,Detroit Pistons,7:00 pm,2022-04-06
Washington Wizards,Atlanta Hawks,8:00 pm,2022-04-06
Orlando Magic,Charlotte Hornets,7:00 pm,2022-04-07
Boston Celtics,Milwaukee Bucks,7:30 pm  TNT,2022-04-07
Philadelphia 76ers,Toronto Raptors,7:30 pm,2022-04-07
Portland Trail Blazers,New Orleans Pelicans,8:00 pm,2022-04-07
San Antonio Spurs,Minnesota Timberwolves,8:00 pm,2022-04-07
Memphis Grizzlies,Denver Nuggets,9:00 pm,2022-04-07
Los Angeles Lakers,Golden State Warriors,10:00 pm  TNT,2022-04-07
Phoenix Suns,Utah Jazz,9:30 pm  NBAt,2022-04-08
Portland Trail Blazers,Dallas Mavericks,8:30 pm,2022-04-08
Atlanta Hawks,Miami Heat,8:00 pm,2022-04-08
Charlotte Hornets,Chicago Bulls,8:00 pm,2022-04-08
Oklahoma City Thunder,Los Angeles Lakers,10:30 pm,2022-04-08
Cleveland Cavaliers,Brooklyn Nets,7:30 pm,2022-04-08
New York Knicks,Washington Wizards,7:00 pm  NBAt,2022-04-08
Milwaukee Bucks,Detroit Pistons,7:00 pm,2022-04-08
Houston Rockets,Toronto Raptors,7:30 pm,2022-04-08
Indiana Pacers,Philadelphia 76ers,TBA,2022-04-09
Golden State Warriors,San Antonio Spurs,TBA,2022-04-09
New Orleans Pelicans,Memphis Grizzlies,TBA  NBAt,2022-04-09
Sacramento Kings,Los Angeles Clippers,TBA,2022-04-09
Oklahoma City Thunder,Los Angeles Clippers,TBA,2022-04-10
Los Angeles Lakers,Denver Nuggets,TBA,2022-04-10
Boston Celtics,Memphis Grizzlies,TBA,2022-04-10
Chicago Bulls,Minnesota Timberwolves,TBA,2022-04-10
Atlanta Hawks,Houston Rockets,TBA,2022-04-10
San Antonio Spurs,Dallas Mavericks,TBA,2022-04-10
Detroit Pistons,Philadelphia 76ers,TBA,2022-04-10
Golden State Warriors,New Orleans Pelicans,TBA,2022-04-10
Washington Wizards,Charlotte Hornets,TBA,2022-04-10
Miami Heat,Orlando Magic,TBA,2022-04-10
Toronto Raptors,New York Knicks,TBA,2022-04-10
Indiana Pacers,Brooklyn Nets,TBA,2022-04-10
Sacramento Kings,Phoenix Suns,TBA,2022-04-10
Milwaukee Bucks,Cleveland Cavaliers,TBA,2022-04-10
Utah Jazz,Portland Trail Blazers,TBA,2022-04-10
