Year,Series,Team1  ,Team2                 ,Winner
636 ,1981  ,Quarter,Boston Celtics        ,Chicago Bulls         ,Chicago Bulls
637 ,1981  ,Quarter,Philadelphia 76ers    ,Milwaukee Bucks       ,Philadelphia 76ers
638 ,1981  ,Quarter,Houston Rockets       ,San Antonio Spurs     ,Houston Rockets
639 ,1981  ,Quarter,Kansas City Kings     ,Phoenix Suns          ,Kansas City Kings
640 ,1981  ,Semi   ,Boston Celtics        ,Philadelphia 76ers    ,Philadelphia 76ers
641 ,1981  ,Semi   ,Houston Rockets       ,Kansas City Kings     ,Houston Rockets
642 ,1981  ,Final  ,Boston Celtics        ,Houston Rockets       ,Houston Rockets
644 ,1980  ,Playoff,Houston Rockets       ,San Antonio Spurs     ,San Antonio Spurs
645 ,1980  ,Playoff,Philadelphia 76ers    ,Washington Bullets    ,Philadelphia 76ers
646 ,1980  ,Playoff,Phoenix Suns          ,Kansas City Kings     ,Kansas City Kings
647 ,1980  ,Playoff,Seattle SuperSonics   ,Portland Trail Blazers,Portland Trail Blazers
648 ,1980  ,Quarter,Boston Celtics        ,Houston Rockets       ,Houston Rockets
649 ,1980  ,Quarter,Philadelphia 76ers    ,Atlanta Hawks         ,Philadelphia 76ers
650 ,1980  ,Quarter,Los Angeles Lakers    ,Phoenix Suns          ,Phoenix Suns
651 ,1980  ,Quarter,Seattle SuperSonics   ,Milwaukee Bucks       ,Seattle SuperSonics
652 ,1980  ,Semi   ,Philadelphia 76ers    ,Boston Celtics        ,Philadelphia 76ers
653 ,1980  ,Semi   ,Los Angeles Lakers    ,Seattle SuperSonics   ,Seattle SuperSonics
654 ,1980  ,Final  ,Los Angeles Lakers    ,Philadelphia 76ers    ,Philadelphia 76ers
