Year,Series,Team1  ,Team2                 ,Winner
160 ,2011  ,Playoff,Chicago Bulls         ,Indiana Pacers        ,Indiana Pacers
161 ,2011  ,Playoff,Miami Heat            ,Philadelphia 76ers    ,Philadelphia 76ers
162 ,2011  ,Playoff,Boston Celtics        ,New York Knicks       ,New York Knicks
163 ,2011  ,Playoff,Atlanta Hawks         ,Orlando Magic         ,Atlanta Hawks
164 ,2011  ,Playoff,Memphis Grizzlies     ,San Antonio Spurs     ,Memphis Grizzlies
165 ,2011  ,Playoff,Los Angeles Lakers    ,New Orleans Hornets   ,New Orleans Hornets
166 ,2011  ,Playoff,Dallas Mavericks      ,Portland Trail Blazers,Portland Trail Blazers
167 ,2011  ,Playoff,Oklahoma City Thunder ,Denver Nuggets        ,Denver Nuggets
168 ,2011  ,Quarter,Chicago Bulls         ,Atlanta Hawks         ,Atlanta Hawks
169 ,2011  ,Quarter,Miami Heat            ,Boston Celtics        ,Boston Celtics
170 ,2011  ,Quarter,Dallas Mavericks      ,Los Angeles Lakers    ,Dallas Mavericks
171 ,2011  ,Quarter,Oklahoma City Thunder ,Memphis Grizzlies     ,Memphis Grizzlies
172 ,2011  ,Semi   ,Miami Heat            ,Chicago Bulls         ,Miami Heat
173 ,2011  ,Semi   ,Dallas Mavericks      ,Oklahoma City Thunder ,Oklahoma City Thunder
174 ,2011  ,Final  ,Dallas Mavericks      ,Miami Heat            ,Dallas Mavericks
176 ,2010  ,Playoff,Cleveland Cavaliers   ,Chicago Bulls         ,Chicago Bulls
177 ,2010  ,Playoff,Orlando Magic         ,Charlotte Bobcats     ,Charlotte Bobcats
178 ,2010  ,Playoff,Atlanta Hawks         ,Milwaukee Bucks       ,Milwaukee Bucks
179 ,2010  ,Playoff,Boston Celtics        ,Miami Heat            ,Miami Heat
180 ,2010  ,Playoff,Los Angeles Lakers    ,Oklahoma City Thunder ,Oklahoma City Thunder
181 ,2010  ,Playoff,San Antonio Spurs     ,Dallas Mavericks      ,San Antonio Spurs
182 ,2010  ,Playoff,Phoenix Suns          ,Portland Trail Blazers,Portland Trail Blazers
183 ,2010  ,Playoff,Utah Jazz             ,Denver Nuggets        ,Utah Jazz
184 ,2010  ,Quarter,Boston Celtics        ,Cleveland Cavaliers   ,Boston Celtics
185 ,2010  ,Quarter,Orlando Magic         ,Atlanta Hawks         ,Atlanta Hawks
186 ,2010  ,Quarter,Los Angeles Lakers    ,Utah Jazz             ,Utah Jazz
187 ,2010  ,Quarter,Phoenix Suns          ,San Antonio Spurs     ,San Antonio Spurs
188 ,2010  ,Semi   ,Los Angeles Lakers    ,Phoenix Suns          ,Phoenix Suns
189 ,2010  ,Semi   ,Boston Celtics        ,Orlando Magic         ,Boston Celtics
190 ,2010  ,Final  ,Los Angeles Lakers    ,Boston Celtics        ,Boston Celtics
192 ,2009  ,Playoff,Cleveland Cavaliers   ,Detroit Pistons       ,Detroit Pistons
193 ,2009  ,Playoff,Boston Celtics        ,Chicago Bulls         ,Chicago Bulls
194 ,2009  ,Playoff,Orlando Magic         ,Philadelphia 76ers    ,Philadelphia 76ers
195 ,2009  ,Playoff,Atlanta Hawks         ,Miami Heat            ,Miami Heat
196 ,2009  ,Playoff,Los Angeles Lakers    ,Utah Jazz             ,Utah Jazz
197 ,2009  ,Playoff,Denver Nuggets        ,New Orleans Hornets   ,New Orleans Hornets
198 ,2009  ,Playoff,Dallas Mavericks      ,San Antonio Spurs     ,Dallas Mavericks
199 ,2009  ,Playoff,Houston Rockets       ,Portland Trail Blazers,Houston Rockets
200 ,2009  ,Quarter,Los Angeles Lakers    ,Houston Rockets       ,Houston Rockets
201 ,2009  ,Quarter,Denver Nuggets        ,Dallas Mavericks      ,Dallas Mavericks
202 ,2009  ,Quarter,Cleveland Cavaliers   ,Atlanta Hawks         ,Atlanta Hawks
203 ,2009  ,Quarter,Orlando Magic         ,Boston Celtics        ,Orlando Magic
204 ,2009  ,Semi   ,Orlando Magic         ,Cleveland Cavaliers   ,Orlando Magic
205 ,2009  ,Semi   ,Los Angeles Lakers    ,Denver Nuggets        ,Denver Nuggets
206 ,2009  ,Final  ,Los Angeles Lakers    ,Orlando Magic         ,Orlando Magic
208 ,2008  ,Playoff,Boston Celtics        ,Atlanta Hawks         ,Atlanta Hawks
209 ,2008  ,Playoff,Detroit Pistons       ,Philadelphia 76ers    ,Philadelphia 76ers
210 ,2008  ,Playoff,Orlando Magic         ,Toronto Raptors       ,Toronto Raptors
