TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,STREAK,LAST 10,TEAM_ID,ELO
Los Angeles Clippers,3031,6484,770.0,2108.0,1449,2089,680.0,2603.0,3283.0,1816,681.0,418.0,967.0,1645,8281,15.12,2015-16,1,0,0,0,0,4.0,53,29,0.646,20  ,31-21,9-7  ,29-12,24-17,5-1 ,,,1610612746,1583.194533793183
Los Angeles Lakers,2737,6628,634.0,1979.0,1502,1891,781.0,2392.0,3173.0,1428,562.0,299.0,1015.0,1502,7610,12.11,2015-16,0,0,0,0,0,,17,65,0.207,56  ,8-44 ,2-14 ,12-29,5-36 ,1-1 ,,,1610612747,1273.2492324423074
Memphis Grizzlies,2645,6006,443.0,1313.0,1412,1764,739.0,2168.0,2907.0,1494,623.0,276.0,889.0,1488,7145,14.01,2015-16,1,0,0,0,0,7.0,42,40,0.512,31  ,25-27,7-9  ,26-15,16-25,3-3 ,,,1610612763,1418.4899143235948
Miami Heat,3109,6588,494.0,1455.0,1378,1854,793.0,2724.0,3517.0,1670,538.0,525.0,1069.0,1454,8090,15.32,2015-16,1,1,0,0,0,6.0,48,34,0.585,9   ,31-21,10-6 ,28-13,20-21,3-3 ,,,1610612748,1587.5222282422603
Milwaukee Bucks,3064,6494,405.0,1142.0,1350,1814,850.0,2469.0,3319.0,1782,652.0,472.0,1140.0,1619,7883,13.79,2015-16,0,0,0,0,0,,33,49,0.402,24  ,21-31,4-12 ,23-18,10-31,4-0 ,,,1610612749,1399.434226148701
Minnesota Timberwolves,2944,6321,428.0,1261.0,1690,2123,771.0,2419.0,3190.0,1801,623.0,362.0,1087.0,1504,8006,14.08,2015-16,0,0,0,0,0,,29,53,0.354,44  ,18-34,4-12 ,14-27,15-26,4-3 ,,,1610612750,1440.1710217298423
New Orleans Pelicans,2945,6564,639.0,1786.0,1325,1696,729.0,2543.0,3272.0,1633,577.0,333.0,982.0,1594,7854,14.48,2015-16,0,0,0,0,0,,30,52,0.366,43  ,20-32,4-12 ,21-20,9-32 ,1-3 ,,,1610612740,1378.234736270636
New York Knicks,2987,6788,605.0,1745.0,1390,1717,823.0,2739.0,3562.0,1664,459.0,456.0,1013.0,1553,7969,14.8,2015-16,0,0,0,0,0,,32,50,0.39,25  ,21-31,8-8  ,18-23,14-27,2-2 ,,,1610612752,1360.2866924869618
Oklahoma City Thunder,3347,7030,669.0,1926.0,1610,2051,1064.0,2887.0,3951.0,1880,601.0,483.0,1255.0,1673,8973,16.0,2015-16,1,1,1,0,0,9.0,55,27,0.671,18  ,37-15,13-3 ,32-9 ,23-18,3-2 ,,,1610612760,1714.634725397411
Orlando Magic,3096,6727,583.0,1661.0,1175,1538,781.0,2561.0,3342.0,1808,627.0,405.0,1058.0,1587,7950,14.86,2015-16,0,0,0,0,0,,35,47,0.427,22  ,21-31,4-12 ,23-18,12-29,3-5 ,,,1610612753,1431.3091095199482
Philadelphia 76ers,2824,6503,735.0,2155.0,1224,1750,750.0,2447.0,3197.0,1603,636.0,477.0,1171.0,1675,7607,14.18,2015-16,0,0,0,0,0,,10,72,0.122,47  ,3-49 ,2-14 ,7-34 ,3-38 ,0-4 ,,,1610612755,1161.7428739777188
Phoenix Suns,2887,6613,700.0,1994.0,1364,1809,882.0,2571.0,3453.0,1548,589.0,295.0,1247.0,1728,7838,14.76,2015-16,0,0,0,0,0,,23,59,0.28,50  ,17-35,6-10 ,14-27,9-32 ,0-1 ,,,1610612756,1331.269533797982
Portland Trail Blazers,3081,6809,848.0,2270.0,1397,1852,915.0,2698.0,3613.0,1668,545.0,375.0,1097.0,1716,8407,15.54,2015-16,1,1,0,0,0,10.0,44,38,0.537,29  ,29-23,11-5 ,28-13,16-25,2-3 ,,,1610612757,1630.254427810415
Sacramento Kings,3253,7008,655.0,1816.0,1502,2073,858.0,2733.0,3591.0,1997,723.0,363.0,1268.0,1651,8663,15.92,2015-16,0,0,0,0,0,,33,49,0.402,40  ,19-33,8-8  ,18-23,15-26,0-3 ,,,1610612758,1417.152195780188
San Antonio Spurs,3131,6436,523.0,1382.0,1282,1599,748.0,2683.0,3431.0,1903,637.0,455.0,981.0,1363,8067,17.85,2015-16,1,1,0,0,0,4.0,67,15,0.817,6   ,43-9 ,14-2 ,40-1 ,27-14,1-0 ,,,1610612759,1716.8166301371175
Toronto Raptors,2901,6440,693.0,1863.0,1641,2108,781.0,2591.0,3372.0,1487,601.0,421.0,951.0,1524,8136,14.97,2015-16,1,1,1,0,0,6.0,56,26,0.683,1   ,39-13,14-2 ,32-9 ,24-17,3-1 ,,,1610612761,1630.7825126814266
Utah Jazz,2930,6516,692.0,1938.0,1385,1863,865.0,2624.0,3489.0,1531,621.0,420.0,1145.0,1598,7937,13.92,2015-16,0,0,0,0,0,,40,42,0.488,33  ,24-28,8-8  ,24-17,16-25,5-5 ,,,1610612762,1495.577837506533
Washington Wizards,3001,6420,634.0,1735.0,1252,1703,635.0,2398.0,3033.0,1921,662.0,290.0,1064.0,1510,7888,14.93,2015-16,0,0,0,0,0,,41,41,0.5,16  ,30-22,10-6 ,22-19,19-22,0-2 ,,,1610612764,1513.820119627311
Atlanta Hawks,3018,6472,792.0,2084.0,1319,1689,680.0,2489.0,3169.0,2068,712.0,353.0,1072.0,1375,8147,16.32,2014-15,1,1,1,0,0,3.0,60,22,0.732,--  ,38-14,12-4 ,35-6 ,25-16,0-1 ,,,1610612737,1585.9380112887095
Boston Celtics,3044,6862,615.0,1882.0,1228,1610,862.0,2532.0,3394.0,1918,634.0,273.0,1037.0,1655,7931,16.54,2014-15,1,0,0,0,0,7.0,40,42,0.488,20  ,28-24,12-4 ,21-20,19-22,2-5 ,,,1610612738,1540.0493301896815
Brooklyn Nets,2959,6537,529.0,1581.0,1308,1749,781.0,2512.0,3293.0,1642,553.0,318.0,1041.0,1474,7755,14.4,2014-15,1,0,0,0,0,8.0,38,44,0.463,22  ,24-28,10-6 ,19-22,19-22,2-4 ,,,1610612751,1508.015518199868
Charlotte Hornets,2796,6648,456.0,1459.0,1345,1791,776.0,2687.0,3463.0,1615,480.0,437.0,876.0,1418,7393,14.27,2014-15,0,0,0,0,0,,33,49,0.402,27  ,25-27,8-8  ,19-22,14-27,3-3 ,,,1610612766,1371.872465489061
Chicago Bulls,2942,6646,632.0,1784.0,1603,2044,936.0,2726.0,3662.0,1771,504.0,469.0,1053.0,1442,8119,16.05,2014-15,1,1,0,0,0,6.0,50,32,0.61,10  ,33-19,8-8  ,27-14,23-18,3-3 ,,,1610612741,1563.981639699667
Cleveland Cavaliers,2988,6479,793.0,2149.0,1421,1879,876.0,2495.0,3371.0,1751,582.0,323.0,1048.0,1381,8190,14.73,2014-15,1,1,1,1,1,8.0,53,29,0.646,7   ,35-17,11-5 ,31-10,22-19,3-1 ,,,1610612739,1730.3972134213273
Dallas Mavericks,3006,6531,706.0,1995.0,1259,1663,754.0,2404.0,3158.0,1762,612.0,326.0,958.0,1441,7977,16.17,2014-15,1,0,0,0,0,7.0,50,32,0.61,17  ,29-23,7-9  ,27-14,23-18,6-0 ,,,1610612742,1556.189178479245
Denver Nuggets,2892,6629,617.0,1870.0,1384,1878,949.0,2516.0,3465.0,1653,602.0,333.0,1057.0,1705,7785,14.53,2014-15,0,0,0,0,0,,30,52,0.366,37  ,19-33,6-10 ,19-22,11-30,2-4 ,,,1610612743,1397.862652833438
Detroit Pistons,2868,6558,669.0,1875.0,1234,1770,999.0,2466.0,3465.0,1576,575.0,321.0,960.0,1388,7639,15.2,2014-15,0,0,0,0,0,,32,50,0.39,28  ,23-29,6-10 ,18-23,14-27,2-3 ,,,1610612765,1436.6023417047206
Golden State Warriors,3367,7027,880.0,2190.0,1290,1669,827.0,2745.0,3572.0,2228,750.0,474.0,1134.0,1567,8904,19.33,2014-15,1,1,1,1,0,4.0,67,15,0.817,--  ,42-10,13-3 ,39-2 ,28-13,1-1 ,,,1610612744,1829.7565469590104
Houston Rockets,2826,6298,855.0,2420.0,1446,1999,849.0,2427.0,3276.0,1679,712.0,386.0,1205.0,1595,7953,15.32,2014-15,1,1,1,0,0,6.0,56,26,0.683,11  ,33-19,8-8  ,30-11,26-15,5-0 ,,,1610612745,1690.3252212373095
Indiana Pacers,2922,6644,587.0,1673.0,1335,1765,840.0,2773.0,3613.0,1718,491.0,372.0,1066.0,1704,7766,15.17,2014-15,0,0,0,0,0,,38,44,0.463,22  ,28-24,8-8  ,23-18,15-26,3-3 ,,,1610612754,1529.3483021236634
Los Angeles Clippers,3118,6539,780.0,2073.0,1423,2009,767.0,2588.0,3355.0,1961,599.0,398.0,921.0,1630,8439,16.11,2014-15,1,1,0,0,0,6.0,56,26,0.683,11  ,37-15,12-4 ,30-11,26-15,1-1 ,,,1610612746,1684.6760725253191
Los Angeles Lakers,3023,6934,523.0,1525.0,1408,1894,946.0,2628.0,3574.0,1690,569.0,366.0,1013.0,1727,7977,14.84,2014-15,0,0,0,0,0,,21,61,0.256,46  ,9-43 ,2-14 ,12-29,9-32 ,6-3 ,,,1610612747,1278.1263397552411
Memphis Grizzlies,3011,6583,412.0,1212.0,1394,1793,814.0,2572.0,3386.0,1746,670.0,332.0,1026.0,1491,7828,14.21,2014-15,1,1,0,0,0,10.0,55,27,0.671,12  ,35-17,9-7  ,31-10,24-17,4-1 ,,,1610612763,1633.489312040124
Miami Heat,2813,6165,535.0,1599.0,1420,1914,713.0,2394.0,3107.0,1573,616.0,364.0,1099.0,1546,7581,13.39,2014-15,0,0,0,0,0,,37,45,0.451,23  ,25-27,6-10 ,20-21,17-24,2-0 ,,,1610612748,1449.3503950658103
Milwaukee Bucks,2873,6209,512.0,1392.0,1274,1667,810.0,2410.0,3220.0,1728,719.0,377.0,1194.0,1652,7532,15.5,2014-15,1,0,0,0,0,6.0,41,41,0.5,19  ,30-22,7-9  ,23-18,18-23,3-3 ,,,1610612749,1469.1637700171136
Minnesota Timberwolves,2797,6402,373.0,1121.0,1529,1963,871.0,2194.0,3065.0,1678,622.0,286.0,1117.0,1437,7496,13.33,2014-15,0,0,0,0,0,,16,66,0.195,51  ,7-45 ,4-12 ,9-32 ,7-34 ,2-3 ,,,1610612750,1244.005699952334
New Orleans Pelicans,3019,6545,569.0,1516.0,1300,1719,907.0,2521.0,3428.0,1722,521.0,482.0,986.0,1426,7907,14.93,2014-15,1,0,0,0,0,8.0,45,37,0.549,22  ,29-23,8-8  ,28-13,17-24,0-3 ,,,1610612740,1542.970169393442
New York Knicks,2777,6455,524.0,1520.0,1132,1473,838.0,2365.0,3203.0,1671,554.0,376.0,1080.0,1723,7210,12.72,2014-15,0,0,0,0,0,,17,65,0.207,43  ,11-41,5-11 ,10-31,7-34 ,2-4 ,,,1610612752,1275.188740396528
Oklahoma City Thunder,2949,6524,589.0,1714.0,1435,1888,952.0,2582.0,3534.0,1550,543.0,427.0,1058.0,1606,7922,15.97,2014-15,0,0,0,0,0,,45,37,0.549,22  ,25-27,10-6 ,29-12,16-25,3-3 ,,,1610612760,1561.2671771117157
Orlando Magic,2979,6558,537.0,1535.0,1121,1524,800.0,2516.0,3316.0,1653,632.0,300.0,1142.0,1649,7616,13.22,2014-15,0,0,0,0,0,,25,57,0.305,35  ,15-37,4-12 ,13-28,12-29,2-1 ,,,1610612753,1320.0547664513572
Philadelphia 76ers,2419,5899,616.0,1876.0,1170,1730,814.0,2197.0,3011.0,1437,701.0,462.0,1215.0,1541,6624,12.21,2014-15,0,0,0,0,0,,18,64,0.22,42  ,12-40,2-14 ,12-29,6-35 ,1-4 ,,,1610612755,1242.7579614047509
Phoenix Suns,3052,6644,646.0,1864.0,1292,1694,854.0,2523.0,3377.0,1564,672.0,374.0,1130.0,1643,8042,15.81,2014-15,0,0,0,0,0,,39,43,0.476,28  ,21-31,6-10 ,22-19,17-24,2-4 ,,,1610612756,1449.6743535877868
Portland Trail Blazers,3052,6771,792.0,2185.0,1230,1508,830.0,2710.0,3540.0,1739,485.0,355.0,1018.0,1382,8126,15.48,2014-15,1,0,0,0,0,4.0,51,31,0.622,16  ,31-21,11-5 ,32-9 ,19-22,4-1 ,,,1610612757,1504.6146829987413
Sacramento Kings,2949,6506,459.0,1340.0,1787,2329,855.0,2647.0,3502.0,1639,536.0,301.0,1248.0,1624,8144,14.51,2014-15,0,0,0,0,0,,29,53,0.354,38  ,18-34,7-9  ,18-23,11-30,3-3 ,,,1610612758,1374.7360848184517
San Antonio Spurs,3063,6509,652.0,1758.0,1324,1696,750.0,2555.0,3305.0,1939,625.0,424.0,1046.0,1428,8102,16.72,2014-15,1,0,0,0,0,6.0,55,27,0.671,12  ,32-20,8-8  ,33-8 ,22-19,1-6 ,,,1610612759,1688.8420082912187
Toronto Raptors,3054,6714,723.0,2055.0,1570,1989,841.0,2461.0,3302.0,1662,590.0,352.0,971.0,1642,8401,16.07,2014-15,1,0,0,0,0,4.0,49,33,0.598,11  ,33-19,11-5 ,27-14,22-19,4-3 ,,,1610612761,1460.8186502335825
Utah Jazz,2755,6165,558.0,1647.0,1330,1845,937.0,2490.0,3427.0,1574,579.0,471.0,1123.0,1471,7398,13.92,2014-15,0,0,0,0,0,,38,44,0.463,29  ,23-29,9-7  ,21-20,17-24,0-1 ,,,1610612762,1539.0215564365906
Washington Wizards,3074,6592,486.0,1322.0,1245,1676,831.0,2719.0,3550.0,1928,585.0,375.0,1130.0,1620,7879,15.59,2014-15,1,1,0,0,0,10.0,46,36,0.561,14  ,30-22,10-6 ,29-12,17-24,4-4 ,,,1610612764,1540.903837894197
Atlanta Hawks,2955,6450,761.0,2084.0,1363,1736,647.0,2420.0,3067.0,1990,650.0,304.0,1131.0,1485,8034,15.48,2013-14,1,0,0,0,0,8.0,38,44,0.463,18  ,28-24,8-8  ,24-17,14-27,4-1 ,,,1610612737,1460.3575494464817
Boston Celtics,2900,6646,552.0,1651.0,1284,1641,920.0,2364.0,3284.0,1697,559.0,307.0,1126.0,1635,7636,13.95,2013-14,0,0,0,0,0,,25,57,0.305,31  ,21-31,5-11 ,16-25,9-32 ,1-1 ,,,1610612738,1287.2313795271334
Brooklyn Nets,2808,6086,700.0,1881.0,1419,1864,651.0,2237.0,2888.0,1597,652.0,304.0,1031.0,1590,7735,14.89,2013-14,1,1,0,0,0,12.0,44,38,0.537,12  ,26-26,9-7  ,28-13,16-25,3-4 ,,,1610612751,1533.6982676838377
Charlotte Hornets,2823,6352,472.0,1341.0,1432,1936,731.0,2597.0,3328.0,1644,457.0,397.0,878.0,1385,7550,14.56,2013-14,0,0,0,0,0,7.0,43,39,0.524,13  ,30-22,6-10 ,25-16,18-23,6-3 ,,,1610612766,1522.8577775675103
Chicago Bulls,2741,6272,482.0,1378.0,1444,1852,923.0,2617.0,3540.0,1763,583.0,415.0,1084.0,1494,7408,14.76,2013-14,1,0,0,0,0,4.0,48,34,0.585,8   ,35-17,11-5 ,27-14,21-20,3-3 ,,,1610612741,1554.2208926266626
Cleveland Cavaliers,2912,6647,577.0,1613.0,1345,1789,918.0,2492.0,3410.0,1695,562.0,268.0,1051.0,1553,7746,14.07,2013-14,0,0,0,0,0,,33,49,0.402,23  ,21-31,7-9  ,19-22,14-27,5-3 ,,,1610612739,1444.5349872289378
Dallas Mavericks,3095,6469,676.0,1751.0,1334,1670,801.0,2397.0,3198.0,1777,654.0,344.0,989.0,1500,8200,17.12,2013-14,1,0,0,0,0,8.0,49,33,0.598,13  ,29-23,9-7  ,26-15,23-18,1-5 ,,,1610612742,1618.1015432192949
Denver Nuggets,3089,6923,702.0,1959.0,1551,2127,971.0,2660.0,3631.0,1825,587.0,436.0,1238.0,1817,8431,15.67,2013-14,0,0,0,0,0,,36,46,0.439,26  ,20-32,5-11 ,22-19,14-27,0-3 ,,,1610612743,1475.1696431003527
Detroit Pistons,3028,6705,452.0,1380.0,1362,2034,1125.0,2372.0,3497.0,1604,648.0,369.0,1068.0,1525,7870,15.31,2013-14,0,0,0,0,0,,29,53,0.354,27  ,23-29,6-10 ,17-24,12-29,0-4 ,,,1610612765,1325.5565952910972
Golden State Warriors,3141,6737,742.0,1919.0,1256,1646,854.0,2707.0,3561.0,1853,616.0,390.0,1152.0,1666,8280,16.8,2013-14,1,0,0,0,0,6.0,51,31,0.622,11  ,31-21,11-5 ,27-14,24-17,3-3 ,,,1610612744,1618.0486155525696
Houston Rockets,2995,6300,719.0,2011.0,1774,2493,889.0,2688.0,3577.0,1700,591.0,446.0,1212.0,1584,8483,16.46,2013-14,1,0,0,0,0,4.0,54,28,0.659,8   ,31-21,11-5 ,33-8 ,21-20,3-2 ,,,1610612745,1595.6637952794674
Indiana Pacers,2723,6037,466.0,1295.0,1421,1813,782.0,2621.0,3403.0,1530,517.0,419.0,1103.0,1532,7333,14.58,2013-14,1,1,1,0,0,3.0,56,26,0.683,--  ,38-14,12-4 ,35-6 ,21-20,4-0 ,,,1610612754,1562.1175360255918
Los Angeles Clippers,2927,6092,614.0,1705.0,1637,2227,759.0,2330.0,3089.0,1923,625.0,337.0,976.0,1448,8105,16.34,2013-14,1,1,0,0,0,6.0,57,25,0.695,5   ,36-16,12-4 ,34-7 ,23-18,2-1 ,,,1610612746,1639.9651453848037
Los Angeles Lakers,3001,6654,745.0,1953.0,1322,1752,723.0,2522.0,3245.0,1849,580.0,439.0,1122.0,1574,8069,15.65,2013-14,0,0,0,0,0,,27,55,0.329,35  ,15-37,6-10 ,14-27,13-28,0-1 ,,,1610612747,1372.0988786201306
Memphis Grizzlies,3059,6571,385.0,1093.0,1206,1629,932.0,2485.0,3417.0,1752,618.0,371.0,1023.0,1520,7709,14.97,2013-14,1,0,0,0,0,7.0,50,32,0.61,12  ,29-23,4-12 ,27-14,23-18,3-2 ,,,1610612763,1632.6110810179423
Miami Heat,3006,5957,605.0,1675.0,1377,1810,580.0,2269.0,2849.0,1769,699.0,342.0,1119.0,1453,7994,15.07,2013-14,1,1,1,1,1,8.0,54,28,0.659,2   ,34-18,12-4 ,32-9 ,22-19,2-4 ,,,1610612748,1624.6795496120988
Milwaukee Bucks,2857,6564,548.0,1551.0,1325,1772,905.0,2331.0,3236.0,1731,526.0,385.0,1139.0,1612,7587,13.24,2013-14,0,0,0,0,0,,15,67,0.183,41  ,12-40,4-12 ,10-31,5-36 ,1-6 ,,,1610612749,1221.4375901285057
Minnesota Timberwolves,3094,6950,589.0,1708.0,1748,2241,996.0,2580.0,3576.0,1943,705.0,292.0,1075.0,1465,8525,15.64,2013-14,0,0,0,0,0,,40,42,0.488,22  ,23-29,7-9  ,24-17,16-25,3-2 ,,,1610612750,1494.3987937780614
New Orleans Pelicans,3014,6544,447.0,1203.0,1465,1886,883.0,2367.0,3250.0,1702,629.0,498.0,1031.0,1740,7940,14.7,2013-14,0,0,0,0,0,,34,48,0.415,28  ,15-37,4-12 ,22-19,12-29,5-0 ,,,1610612740,1458.6084618168184
New York Knicks,2799,6233,736.0,1966.0,1170,1515,756.0,2179.0,2935.0,1547,561.0,302.0,909.0,1597,7504,13.48,2013-14,0,0,0,0,0,,37,45,0.451,19  ,26-26,10-6 ,19-22,18-23,2-3 ,,,1610612752,1551.3489386172373
Oklahoma City Thunder,3140,6669,661.0,1819.0,1644,2035,842.0,2687.0,3529.0,1772,654.0,482.0,1179.0,1728,8585,16.01,2013-14,1,1,1,0,0,6.0,59,23,0.72,3   ,36-16,11-5 ,34-7 ,25-16,3-1 ,,,1610612760,1674.0629495959993
Orlando Magic,2915,6508,554.0,1550.0,1267,1648,723.0,2499.0,3222.0,1645,588.0,313.0,1114.0,1530,7651,14.25,2013-14,0,0,0,0,0,,23,59,0.28,33  ,17-35,4-12 ,19-22,4-37 ,2-5 ,,,1610612753,1312.278191561015
Philadelphia 76ers,2877,6611,527.0,1690.0,1257,1749,862.0,2297.0,3159.0,1648,693.0,258.0,1232.0,1593,7538,13.48,2013-14,0,0,0,0,0,,19,63,0.232,37  ,14-38,5-11 ,10-31,9-32 ,4-1 ,,,1610612755,1236.7147555063
Phoenix Suns,3046,6545,749.0,1999.0,1441,1891,855.0,2458.0,3313.0,1517,672.0,347.0,1154.0,1659,8282,15.68,2013-14,0,0,0,0,0,,48,34,0.585,14  ,28-24,8-8  ,26-15,22-19,1-2 ,,,1610612756,1578.605308400548
Portland Trail Blazers,2995,6623,719.0,1913.0,1487,1820,958.0,2554.0,3512.0,1780,414.0,368.0,995.0,1357,8196,16.48,2013-14,1,1,0,0,0,10.0,54,28,0.659,8   ,31-21,13-3 ,31-10,23-18,5-2 ,,,1610612757,1613.9003747008846
Sacramento Kings,2680,5951,411.0,1255.0,1582,2089,845.0,2316.0,3161.0,1275,506.0,282.0,1051.0,1552,7353,13.28,2013-14,0,0,0,0,0,,28,54,0.341,34  ,15-37,3-13 ,17-24,11-30,4-2 ,,,1610612758,1389.3036987135952
San Antonio Spurs,3178,6487,676.0,1692.0,1238,1577,692.0,2606.0,3298.0,1983,582.0,405.0,1081.0,1362,8270,17.56,2013-14,1,1,1,1,0,4.0,62,20,0.756,--  ,38-14,12-4 ,32-9 ,30-11,2-0 ,,,1610612759,1770.099221709938
Toronto Raptors,2903,6472,695.0,1841.0,1557,1989,896.0,2427.0,3323.0,1643,544.0,334.0,1044.0,1784,8058,14.39,2013-14,1,0,0,0,0,3.0,48,34,0.585,8   ,32-20,11-5 ,26-15,22-19,1-6 ,,,1610612761,1550.8146667846058
Utah Jazz,2819,6327,514.0,1478.0,1279,1693,822.0,2268.0,3090.0,1588,531.0,306.0,1049.0,1530,7431,12.83,2013-14,0,0,0,0,0,,25,57,0.305,37  ,13-39,4-12 ,16-25,9-32 ,2-1 ,,,1610612762,1326.5221400921469
Washington Wizards,2923,6331,614.0,1602.0,1163,1581,734.0,2285.0,3019.0,1724,585.0,343.0,1031.0,1444,7623,14.17,2013-14,1,1,0,0,0,10.0,44,38,0.537,12  ,33-19,10-6 ,22-19,22-19,4-8 ,,,1610612764,1554.9916714104377
Atlanta Hawks,2833,6072,666.0,1791.0,1057,1486,664.0,2374.0,3038.0,1887,614.0,356.0,1075.0,1278,7389,14.94,2012-13,1,0,0,0,0,6.0,44,38,0.537,22  ,29-23,11-5 ,25-16,19-22,4-1 ,,,1610612737,1468.0147632921728
Boston Celtics,2898,6246,493.0,1373.0,1266,1599,595.0,2401.0,2996.0,1789,634.0,342.0,1070.0,1576,7555,15.03,2012-13,1,0,0,0,0,7.0,41,40,0.506,24.5,27-24,7-9  ,27-13,14-27,7-4 ,,,1610612738,1475.4179269654996
Brooklyn Nets,2823,6225,583.0,1633.0,1396,1898,997.0,2356.0,3353.0,1616,565.0,380.0,1084.0,1407,7625,14.46,2012-13,1,0,0,0,0,4.0,49,33,0.598,17  ,36-16,11-5 ,26-15,23-18,5-0 ,,,1610612751,1542.6281922553558
Charlotte Hornets,2581,6030,414.0,1234.0,1443,1910,852.0,2178.0,3030.0,1451,530.0,439.0,973.0,1403,7019,13.19,2012-13,0,0,0,0,0,,21,61,0.256,45  ,18-34,6-10 ,15-26,6-35 ,3-1 ,,,1610612766,1321.977873743971
Chicago Bulls,2835,6424,422.0,1154.0,1323,1706,1005.0,2408.0,3413.0,1804,567.0,400.0,1067.0,1521,7415,14.59,2012-13,1,1,0,0,0,10.0,45,37,0.549,21  ,34-18,9-7  ,24-17,21-20,4-2 ,,,1610612741,1537.807579562647
Cleveland Cavaliers,2812,6425,522.0,1496.0,1305,1713,940.0,2242.0,3182.0,1561,613.0,324.0,1025.0,1618,7451,14.49,2012-13,0,0,0,0,0,,24,58,0.293,42  ,18-34,3-13 ,14-27,10-31,0-1 ,,,1610612739,1308.9314321824136
Dallas Mavericks,3009,6476,580.0,1545.0,1218,1521,686.0,2494.0,3180.0,1769,603.0,406.0,1015.0,1525,7816,15.98,2012-13,0,0,0,0,0,,41,41,0.5,19  ,24-28,7-9  ,24-17,17-24,3-8 ,,,1610612742,1569.9230351654553
Denver Nuggets,3074,6415,472.0,1380.0,1407,2006,972.0,2384.0,3356.0,1909,701.0,485.0,1089.0,1488,8027,18.05,2012-13,1,0,0,0,0,3.0,57,25,0.695,3   ,38-14,11-5 ,38-3 ,19-22,4-2 ,,,1610612743,1667.374271524396
Detroit Pistons,2772,6166,459.0,1284.0,1197,1706,940.0,2294.0,3234.0,1639,527.0,374.0,1120.0,1407,7200,14.93,2012-13,0,0,0,0,0,,29,53,0.354,37  ,25-27,8-8  ,18-23,11-30,0-3 ,,,1610612765,1379.4958559371564
Golden State Warriors,3027,6586,647.0,1594.0,1328,1656,835.0,2632.0,3467.0,1776,525.0,296.0,1149.0,1591,8029,15.5,2012-13,1,1,0,0,0,12.0,47,35,0.573,13  ,28-24,9-7  ,28-13,19-22,2-2 ,,,1610612744,1598.504695627181
Houston Rockets,2912,6290,806.0,2192.0,1512,1991,817.0,2442.0,3259.0,1795,612.0,311.0,1196.0,1512,8142,16.53,2012-13,1,0,0,0,0,8.0,45,37,0.549,15  ,24-28,6-10 ,29-12,16-25,0-4 ,,,1610612745,1545.0762920772231
Indiana Pacers,2754,6295,545.0,1562.0,1379,1851,996.0,2563.0,3559.0,1603,565.0,495.0,1130.0,1545,7432,14.55,2012-13,1,1,1,0,0,9.0,49,32,0.605,16.5,31-20,13-3 ,30-11,19-21,2-3 ,,,1610612754,1633.795459151873
Los Angeles Clippers,3061,6358,589.0,1645.0,1279,1812,930.0,2398.0,3328.0,1875,758.0,453.0,1079.0,1644,7990,15.92,2012-13,1,0,0,0,0,4.0,56,26,0.683,4   ,35-17,11-5 ,32-9 ,24-17,0-2 ,,,1610612746,1605.377003821469
Los Angeles Lakers,2922,6358,709.0,1990.0,1526,2203,839.0,2589.0,3428.0,1788,565.0,399.0,1154.0,1351,8079,15.46,2012-13,1,0,0,0,0,7.0,45,37,0.549,15  ,28-24,8-8  ,29-12,16-25,3-0 ,,,1610612747,1558.2446829481637
Memphis Grizzlies,2834,6363,346.0,997.0,1298,1669,1014.0,2332.0,3346.0,1630,674.0,412.0,1011.0,1538,7312,14.33,2012-13,1,1,1,0,0,15.0,56,26,0.683,4   ,34-18,10-6 ,32-9 ,24-17,4-1 ,,,1610612763,1664.4484628534533
Miami Heat,3107,6243,700.0,1750.0,1413,1872,664.0,2443.0,3107.0,1867,707.0,432.0,1067.0,1488,8327,15.55,2012-13,1,1,1,1,0,4.0,66,16,0.805,--  ,41-11,15-1 ,37-4 ,29-12,5-1 ,,,1610612748,1778.2991451692997
Milwaukee Bucks,2979,6837,585.0,1618.0,1208,1629,1009.0,2396.0,3405.0,1791,647.0,528.0,1051.0,1429,7751,15.96,2012-13,1,0,0,0,0,8.0,38,44,0.463,28  ,24-28,7-9  ,21-20,17-24,3-3 ,,,1610612749,1396.0319353470238
Minnesota Timberwolves,2808,6382,437.0,1419.0,1457,1938,902.0,2343.0,3245.0,1775,659.0,344.0,1108.0,1377,7510,14.95,2012-13,0,0,0,0,0,,31,51,0.378,29  ,17-35,4-12 ,20-21,11-30,1-1 ,,,1610612750,1420.9852540877412
New Orleans Pelicans,2923,6502,535.0,1467.0,1257,1614,955.0,2354.0,3309.0,1696,500.0,428.0,1095.0,1618,7638,13.4,2012-13,0,0,0,0,0,,27,55,0.329,33  ,15-37,5-11 ,16-25,11-30,1-3 ,,,1610612740,1373.469849649528
New York Knicks,2767,6176,853.0,2256.0,1254,1614,780.0,2120.0,2900.0,1498,613.0,226.0,876.0,1417,7641,14.8,2012-13,1,1,0,0,0,4.0,54,28,0.659,12  ,37-15,10-6 ,31-10,23-18,0-2 ,,,1610612752,1585.003733450998
