TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,STREAK,LAST 10,TEAM_ID,ELO
Brooklyn Nets,2769,5526,948.0,2373.0,1135,1413,516.0,2187.0,2703.0,1652,423.0,312.0,804.0,1191,7621,16.31,2020-21,1,1,0,0,0,4.0,48,24,0.667,1   ,26-16,8-4  ,28-8 ,20-16,2-2 ,,,1610612751,1626.3030640026743
Charlotte Hornets,2789,6134,977.0,2623.0,1087,1435,741.0,2331.0,3072.0,1850,546.0,333.0,977.0,1238,7642,15.05,2020-21,0,0,0,0,0,,33,39,0.458,16  ,20-22,8-4  ,18-18,15-21,1-2 ,,,1610612766,1402.29714429083
Chicago Bulls,2842,5982,858.0,2296.0,923,1153,612.0,2302.0,2914.0,1807,430.0,256.0,984.0,1193,7465,15.82,2020-21,0,0,0,0,0,,31,41,0.431,18  ,21-21,7-5  ,15-21,16-20,2-2 ,,,1610612741,1470.1712250084342
Cleveland Cavaliers,2529,5575,672.0,1952.0,1073,1431,651.0,2029.0,2680.0,1513,491.0,260.0,934.0,1104,6803,13.22,2020-21,0,0,0,0,0,,22,50,0.306,27  ,16-26,4-8  ,13-23,9-27 ,3-1 ,,,1610612739,1286.4046556647502
Dallas Mavericks,2760,5805,950.0,2572.0,1102,1408,549.0,2210.0,2759.0,1552,404.0,293.0,762.0,1247,7572,14.93,2020-21,1,0,0,0,0,5.0,42,30,0.583,10  ,21-21,7-5  ,21-15,21-15,1-0 ,,,1610612742,1560.273604502168
Denver Nuggets,2802,5704,832.0,2171.0,1026,1261,652.0,2109.0,2761.0,1794,504.0,263.0,804.0,1106,7462,14.53,2020-21,1,1,0,0,0,6.0,47,25,0.653,5   ,26-16,9-3  ,25-11,22-14,4-2 ,,,1610612743,1602.6799766595705
Detroit Pistons,2385,5358,760.0,2173.0,1134,1472,596.0,2080.0,2676.0,1533,459.0,333.0,886.0,1283,6664,12.61,2020-21,0,0,0,0,0,,20,52,0.278,29  ,12-30,1-11 ,13-23,7-29 ,1-3 ,,,1610612765,1307.5684377458897
Golden State Warriors,2908,6177,1019.0,2710.0,1162,1476,556.0,2451.0,3007.0,1912,562.0,331.0,1014.0,1473,7997,15.37,2020-21,0,0,0,0,0,,39,33,0.542,13  ,25-17,5-7  ,25-11,14-22,1-0 ,,,1610612744,1542.5852876810625
Houston Rockets,2396,5327,811.0,2354.0,992,1354,557.0,2010.0,2567.0,1353,457.0,296.0,837.0,1153,6595,13.07,2020-21,0,0,0,0,0,,17,55,0.236,35  ,11-31,5-7  ,9-27 ,8-28 ,0-1 ,,,1610612745,1286.636493677438
Indiana Pacers,2886,6049,834.0,2279.0,1106,1391,588.0,2228.0,2816.0,1905,581.0,427.0,879.0,1308,7712,16.19,2020-21,0,0,0,0,0,,34,38,0.472,15  ,20-22,7-5  ,13-23,21-15,5-2 ,,,1610612754,1468.5157173370408
