NAME,TEAM,SALARY,YEAR,POS
Aaron Gray,Chicago Bulls,427163,2008, C
Taurean Green,Denver Nuggets,427163,2008, PG
Josh McRoberts,Portland Trail Blazers,427163,2008, PF
Adam Haluska,Houston Rockets,427163,2008, NA
Chris Richard,Minnesota Timberwolves,427163,2008, PF
Anthony Tolliver,New Orleans Pelicans,427163,2008, PF
D.J. Strawberry,Phoenix Suns,427163,2008, SG
Brandon Wallace,Boston Celtics,427163,2008, NA
Chris Webber,Golden State Warriors,358107,2008, C
Earl Boykins,Charlotte Hornets,349041,2008, PG
Damon Stoudamire,San Antonio Spurs,335442,2008, PG
Courtney Sims,Indiana Pacers,319116,2008, C
Keith Langford,San Antonio Spurs,278912,2008, SG
C.J. Watson,Golden State Warriors,251272,2008, PG
Jeremy Richardson,San Antonio Spurs,238588,2008, SG
Jamaal Magloire,Dallas Mavericks,231183,2008, C
P.J. Brown,Boston Celtics,226650,2008, PF
Ronald Murray,Indiana Pacers,213051,2008, SG
Gordan Giricek,Phoenix Suns,199452,2008, SG
Theo Ratliff,Detroit Pistons,199452,2008, C
Sam Cassell,Boston Celtics,199452,2008, PG
Tyronn Lue,Dallas Mavericks,199452,2008, PG
Smush Parker,Los Angeles Clippers,181320,2008, PG
Brent Barry,San Antonio Spurs,172177,2008, SG
Loren Woods,Houston Rockets,142201,2008, C
Nick Fazekas,Los Angeles Clippers,125636,2008, PF
Ira Newble,Los Angeles Lakers,122391,2008, SF
Mike Harris,Houston Rockets,100509,2008, SF
Didier Ilunga-Mbenga,Los Angeles Lakers,90660,2008, C
Lance Allred,Cleveland Cavaliers,87945,2008, C
Blake Ahearn,Miami Heat,67844,2008, G
Stephane Lasme,Miami Heat,67844,2008, PF
Ronald Dupree,Oklahoma City Thunder,63462,2008, SF
Marcus Williams,Los Angeles Clippers,50254,2008, SG
Kasib Powell,Miami Heat,36395,2008, SF
DerMarr Johnson,San Antonio Spurs,27198,2008, SF
Bobby Jones,San Antonio Spurs,24263,2008, SF
Linton Johnson,Toronto Raptors,4533,2008, PF
Billy Thomas,Cleveland Cavaliers,4533,2008, SG
Kevin Garnett,Boston Celtics,24751934,2009, PF
Jason Kidd,Dallas Mavericks,21372000,2009, PG
Jermaine O'Neal,Miami Heat,21372000,2009, C
Kobe Bryant,Los Angeles Lakers,21262500,2009, SF
Shaquille O'Neal,Phoenix Suns,21000000,2009, C
Allen Iverson,Detroit Pistons,20840625,2009, SG
Stephon Marbury,Boston Celtics,20840625,2009, PG
Tim Duncan,San Antonio Spurs,20598704,2009, C
Tracy McGrady,Houston Rockets,20370437,2009, SG
Ray Allen,Boston Celtics,18388430,2009, SG
Dirk Nowitzki,Dallas Mavericks,18077904,2009, F
Paul Pierce,Boston Celtics,18077903,2009, SF
Shawn Marion,Toronto Raptors,17810000,2009, SG
Rashard Lewis,Orlando Magic,16447871,2009, PF
Michael Redd,Milwaukee Bucks,15780000,2009, SG
Pau Gasol,Los Angeles Lakers,15106000,2009, PF
Andrei Kirilenko,Utah Jazz,15106000,2009, SF
Amar'e Stoudemire,Phoenix Suns,15070550,2009, C
Yao Ming,Houston Rockets,15070550,2009, C
Mike Bibby,Atlanta Hawks,14983603,2009, PG
Vince Carter,Brooklyn Nets,14724125,2009, G
Zach Randolph,Los Angeles Clippers,14666667,2009, F
Gilbert Arenas,Washington Wizards,14653466,2009, PG
Ben Wallace,Cleveland Cavaliers,14500000,2009, PF
Kenyon Martin,Denver Nuggets,14431816,2009, PF
Dwyane Wade,Miami Heat,14410581,2009, G
Chris Bosh,Toronto Raptors,14410581,2009, PF
Carmelo Anthony,Denver Nuggets,14410581,2009, PF
LeBron James,Cleveland Cavaliers,14410581,2009, SF
Joe Johnson,Atlanta Hawks,14232567,2009, G
Lamar Odom,Los Angeles Lakers,14148596,2009, PF
Rasheed Wallace,Detroit Pistons,13930000,2009, PF
Wally Szczerbiak,Cleveland Cavaliers,13775000,2009, SG
Dwight Howard,Orlando Magic,13758000,2009, C
Elton Brand,Philadelphia 76ers,13757844,2009, PF
Richard Jefferson,Milwaukee Bucks,13200000,2009, F
Larry Hughes,New York Knicks,12827676,2009, SG
Raef LaFrentz,Portland Trail Blazers,12722500,2009, C
Peja Stojakovic,New Orleans Pelicans,12528000,2009, SF
Steve Nash,Phoenix Suns,12250000,2009, PG
Jason Richardson,Phoenix Suns,12222221,2009, SG
Carlos Boozer,Utah Jazz,11593817,2009, PF
Erick Dampier,Dallas Mavericks,11553000,2009, C
Tony Parker,San Antonio Spurs,11550000,2009, G
Brad Miller,Chicago Bulls,11375000,2009, C
Tyson Chandler,New Orleans Pelicans,11350000,2009, C
Andre Iguodala,Philadelphia 76ers,11300000,2009, F
Baron Davis,Los Angeles Clippers,11250000,2009, PG
Samuel Dalembert,Philadelphia 76ers,11238564,2009, C
Chauncey Billups,Denver Nuggets,11050000,2009, PG
Monta Ellis,Golden State Warriors,11000000,2009, SG
Al Jefferson,Minnesota Timberwolves,11000000,2009, C
Zydrunas Ilgauskas,Cleveland Cavaliers,10841615,2009, C
Richard Hamilton,Detroit Pistons,10812500,2009, SG
Bobby Simmons,Brooklyn Nets,10602667,2009, SF
Andre Miller,Philadelphia 76ers,10333334,2009, PG
Troy Murphy,Indiana Pacers,10126984,2009, PF
Marcus Camby,Los Angeles Clippers,10000000,2009, C
Josh Smith,Atlanta Hawks,10000000,2009, PF
Kirk Hinrich,Chicago Bulls,10000000,2009, SG
Josh Howard,Dallas Mavericks,9945000,2009, SF
Antawn Jamison,Washington Wizards,9923285,2009, PF
Manu Ginobili,San Antonio Spurs,9905248,2009, G
David West,New Orleans Pelicans,9862500,2009, F
Eddy Curry,New York Knicks,9723983,2009, NA
Nene Hilario,Denver Nuggets,9680000,2009, C
Emeka Okafor,Charlotte Hornets,9537500,2009, C
Chris Kaman,Los Angeles Clippers,9500000,2009, C
Gerald Wallace,Charlotte Hornets,9500000,2009, SF
Tayshaun Prince,Detroit Pistons,9500000,2009, SF
Luol Deng,Chicago Bulls,9385000,2009, F
Caron Butler,Washington Wizards,9249980,2009, SF
Al Harrington,New York Knicks,9226250,2009, PF
Jason Terry,Dallas Mavericks,9196000,2009, G
Antoine Walker,Minnesota Timberwolves,9052460,2009, PF
Mike Miller,Minnesota Timberwolves,9028575,2009, SG
Andris Biedrins,Golden State Warriors,9000000,2009, C
Boris Diaw,Charlotte Hornets,9000000,2009, C
Mike Dunleavy,Indiana Pacers,9000000,2009, SG
Cuttino Mobley,Los Angeles Clippers,8925000,2009, SG
Kevin Martin,Sacramento Kings,8760335,2009, SG
Quentin Richardson,New York Knicks,8685500,2009, SF
Jamal Crawford,Golden State Warriors,8640000,2009, G
Kenny Thomas,Sacramento Kings,8562500,2009, PF
Mark Blount,Miami Heat,8513916,2009, C
Mehmet Okur,Utah Jazz,8500000,2009, C
Rasho Nesterovic,Indiana Pacers,8400000,2009, C
Mo Williams,Cleveland Cavaliers,8353000,2009, PG
Corey Maggette,Golden State Warriors,8275862,2009, SF
Andres Nocioni,Sacramento Kings,8000000,2009, SF
T.J. Ford,Indiana Pacers,8000000,2009, PG
Devin Harris,Brooklyn Nets,7800000,2009, G
Jameer Nelson,Orlando Magic,7700000,2009, G
Malik Rose,Oklahoma City Thunder,7647500,2009, PF
Jose Calderon,Toronto Raptors,7438018,2009, G
Metta World Peace,Houston Rockets,7400000,2009, SF
Eric Snow,Cleveland Cavaliers,7312500,2009, PG
Stephen Jackson,Golden State Warriors,7140000,2009, SF
Darko Milicic,Memphis Grizzlies,7020000,2009, C
Jerry Stackhouse,Dallas Mavericks,7000000,2009, SF
Marquis Daniels,Indiana Pacers,6864200,2009, SG
Hedo Turkoglu,Orlando Magic,6864200,2009, SF
Etan Thomas,Washington Wizards,6864200,2009, C
Jamaal Tinsley,Utah Jazz,6750000,2009, PG
Chris Wilcox,New York Knicks,6750000,2009, PF
Marko Jaric,Memphis Grizzlies,6575000,2009, PG
Udonis Haslem,Miami Heat,6575000,2009, PF
Luke Ridnour,Milwaukee Bucks,6500000,2009, PG
Bobby Jackson,Sacramento Kings,6487888,2009, PG
Shane Battier,Houston Rockets,6448900,2009, SF
Ben Gordon,Chicago Bulls,6404750,2009, SG
Nick Collison,Oklahoma City Thunder,6350000,2009, F
Joel Przybilla,Portland Trail Blazers,6310150,2009, C
Brian Cardinal,Minnesota Timberwolves,6300000,2009, PF
Andrew Bogut,Milwaukee Bucks,6294195,2009, C
Dan Gadzuric,Milwaukee Bucks,6250195,2009, C
Mike James,Washington Wizards,6244093,2009, PG
Shareef Abdur-Rahim,Sacramento Kings,6200000,2009, PF
Earl Watson,Oklahoma City Thunder,6200000,2009, PG
Antonio Daniels,New Orleans Pelicans,6200000,2009, PG
Jason Collins,Minnesota Timberwolves,6200000,2009, C
Jerome James,New York Knicks,6200000,2009, C
Leandro Barbosa,Phoenix Suns,6100000,2009, G
John Salmons,Chicago Bulls,6077151,2009, SF
Nazr Mohammed,Charlotte Hornets,6049400,2009, C
Jared Jeffries,New York Knicks,6049400,2009, PF
Tim Thomas,Chicago Bulls,6049400,2009, PF
Vladimir Radmanovic,Charlotte Hornets,6049400,2009, SF
Matt Harpring,Utah Jazz,6000000,2009, SF
Jason Kapono,Toronto Raptors,5784480,2009, SG
Anderson Varejao,Cleveland Cavaliers,5784480,2009, C
Speedy Claxton,Atlanta Hawks,5757818,2009, PG
Tony Battie,Orlando Magic,5746000,2009, C
Marvin Williams,Atlanta Hawks,5636142,2009, F
Mikki Moore,Boston Celtics,5632200,2009, C
Morris Peterson,New Orleans Pelicans,5592240,2009, SG
Chris Duhon,New York Knicks,5585000,2009, PG
James Posey,New Orleans Pelicans,5585000,2009, SF
Beno Udrih,Sacramento Kings,5585000,2009, PG
DeSagana Diop,Charlotte Hornets,5585000,2009, C
Brendan Haywood,Washington Wizards,5500000,2009, C
Jeff Foster,Indiana Pacers,5500000,2009, PF
Mickael Pietrus,Orlando Magic,5300000,2009, SF
Desmond Mason,Oklahoma City Thunder,5300000,2009, SF
Andrea Bargnani,Toronto Raptors,5176440,2009, C
Deron Williams,Utah Jazz,5069449,2009, PG
Matt Carroll,Dallas Mavericks,5050000,2009, SG
Greg Oden,Portland Trail Blazers,5011680,2009, C
Raja Bell,Charlotte Hornets,5000000,2009, SG
JR Smith,Denver Nuggets,4985001,2009, G
Kyle Korver,Utah Jazz,4956818,2009, G
Rafer Alston,Orlando Magic,4900000,2009, PG
Derrick Rose,Chicago Bulls,4822800,2009, PG
Nenad Krstic,Oklahoma City Thunder,4778548,2009, C
Derek Fisher,Los Angeles Lakers,4700000,2009, PG
Reggie Evans,Philadelphia 76ers,4640000,2009, C
LaMarcus Aldridge,Portland Trail Blazers,4631400,2009, C
Kendrick Perkins,Boston Celtics,4578880,2009, C
Chris Paul,New Orleans Pelicans,4574189,2009, PG
Anthony Parker,Toronto Raptors,4550000,2009, SG
Sasha Vujacic,Los Angeles Lakers,4524887,2009, SG
Sasha Pavlovic,Cleveland Cavaliers,4500000,2009, SG
Ronny Turiaf,Golden State Warriors,4500000,2009, C
Lou Williams,Philadelphia 76ers,4500000,2009, SG
Kevin Durant,Oklahoma City Thunder,4484040,2009, PF
Damon Jones,Milwaukee Bucks,4460186,2009, PG
Luke Walton,Los Angeles Lakers,4420000,2009, SF
Trenton Hassell,Brooklyn Nets,4350000,2009, SF
Michael Beasley,Miami Heat,4314960,2009, F
Marcus Banks,Toronto Raptors,4260000,2009, PG
Steve Blake,Portland Trail Blazers,4250000,2009, PG
Darius Songaila,Washington Wizards,4235000,2009, PF
Kurt Thomas,San Antonio Spurs,4200000,2009, PF
Adam Morrison,Los Angeles Lakers,4159200,2009, SF
Raymond Felton,Charlotte Hornets,4148715,2009, G
Al Horford,Atlanta Hawks,4023720,2009, C
Greg Buckner,Memphis Grizzlies,4010005,2009, SG
James Jones,Miami Heat,4010000,2009, SG
Bruce Bowen,San Antonio Spurs,4000000,2009, SF
Kwame Brown,Detroit Pistons,4000000,2009, C
Travis Outlaw,Portland Trail Blazers,4000000,2009, SF
Zaza Pachulia,Atlanta Hawks,4000000,2009, C
O.J. Mayo,Memphis Grizzlies,3875040,2009, SG
Steven Hunter,Memphis Grizzlies,3862600,2009, C
Delonte West,Cleveland Cavaliers,3850000,2009, SG
Keith Van Horn,Dallas Mavericks,3792112,2009, PF
Martell Webster,Portland Trail Blazers,3771133,2009, SF
Tyrus Thomas,Chicago Bulls,3749880,2009, PF
Daniel Gibson,Cleveland Cavaliers,3700000,2009, SG
CJ Miles,Utah Jazz,3700000,2009, G
Amir Johnson,Detroit Pistons,3666667,2009, F
Ryan Gomes,Minnesota Timberwolves,3650000,2009, SF
Mike Conley,Memphis Grizzlies,3630480,2009, PG
Rasual Butler,New Orleans Pelicans,3630000,2009, SF
DeShawn Stevenson,Washington Wizards,3616072,2009, SG
Fabricio Oberto,San Antonio Spurs,3600000,2009, C
Robert Swift,Oklahoma City Thunder,3579131,2009, C
Roger Mason Jr.,San Antonio Spurs,3500000,2009, SG
Brian Cook,Houston Rockets,3500000,2009, PF
Russell Westbrook,Oklahoma City Thunder,3493680,2009, PG
Charlie Villanueva,Milwaukee Bucks,3448050,2009, PF
Shelden Williams,Minnesota Timberwolves,3395760,2009, C
Willie Green,Philadelphia 76ers,3388000,2009, SG
Charlie Bell,Milwaukee Bucks,3354480,2009, SG
Keyon Dooling,Brooklyn Nets,3300000,2009, PG
Jeff Green,Oklahoma City Thunder,3287640,2009, PF
Eduardo Najera,Brooklyn Nets,3250000,2009, PF
Chucky Atkins,Oklahoma City Thunder,3240000,2009, PG
Brian Scalabrine,Boston Celtics,3206897,2009, PF
Kris Humphries,Toronto Raptors,3200000,2009, PF
Channing Frye,Portland Trail Blazers,3163769,2009, F
Kevin Love,Minnesota Timberwolves,3163680,2009, PF
Luis Scola,Houston Rockets,3100667,2009, F
Trevor Ariza,Los Angeles Lakers,3100000,2009, SF
Damien Wilkins,Oklahoma City Thunder,3100000,2009, SG
Marc Gasol,Memphis Grizzlies,3093333,2009, C
Brandon Roy,Portland Trail Blazers,3084240,2009, SG
Carl Landry,Houston Rockets,3000000,2009, PF
Yi Jianlian,Brooklyn Nets,2986080,2009, SF
Matt Bonner,San Antonio Spurs,2978000,2009, C
Ike Diogu,Sacramento Kings,2912823,2009, PF
Kelenna Azubuike,Golden State Warriors,2900000,2009, SF
Danilo Gallinari,New York Knicks,2873520,2009, PF
Randy Foye,Minnesota Timberwolves,2815560,2009, SG
Andrew Bynum,Los Angeles Lakers,2769300,2009, C
Andray Blatche,Washington Wizards,2739669,2009, C
Corey Brewer,Minnesota Timberwolves,2725920,2009, F
Sean May,Charlotte Hornets,2661027,2009, C
Eddie House,Boston Celtics,2650000,2009, SG
Steve Francis,Houston Rockets,2634480,2009, PG
Mark Madsen,Minnesota Timberwolves,2630000,2009, PF
Eric Gordon,Los Angeles Clippers,2623200,2009, SG
Rashad McCants,Sacramento Kings,2620126,2009, SG
Dorell Wright,Miami Heat,2612835,2009, SF
Rudy Gay,Memphis Grizzlies,2579400,2009, SF
Keith Bogans,Milwaukee Bucks,2565000,2009, SG
Chris Mihm,Los Angeles Lakers,2500000,2009, C
Maurice Evans,Atlanta Hawks,2500000,2009, SG
Craig Smith,Minnesota Timberwolves,2500000,2009, PF
Tony Allen,Boston Celtics,2500000,2009, SG
Michael Finley,San Antonio Spurs,2500000,2009, SG
Brandan Wright,Golden State Warriors,2497320,2009, F
Jason Hart,Denver Nuggets,2484000,2009, PG
Joey Graham,Toronto Raptors,2449184,2009, SF
Joe Alexander,Milwaukee Bucks,2403120,2009, SF
Danny Granger,Indiana Pacers,2329805,2009, SF
Sebastian Telfair,Minnesota Timberwolves,2300000,2009, PG
Ricky Davis,Los Angeles Clippers,2300000,2009, SG
Joakim Noah,Chicago Bulls,2295480,2009, C
Maceo Baston,Indiana Pacers,2272860,2009, SF
Mouhamed Sene,New York Knicks,2252400,2009, C
Tyronn Lue,Orlando Magic,2250000,2009, PG
D.J. Augustin,Charlotte Hornets,2208960,2009, PG
Spencer Hawes,Sacramento Kings,2180760,2009, PF
JJ Redick,Orlando Magic,2139720,2009, SG
Hakim Warrick,Memphis Grizzlies,2119102,2009, PF
Brook Lopez,Brooklyn Nets,2098560,2009, C
Jarron Collins,Utah Jazz,2074302,2009, C
Acie Law,Atlanta Hawks,2071680,2009, PG
Hilton Armstrong,New Orleans Pelicans,2032800,2009, PF
Nate Robinson,New York Knicks,2020179,2009, PG
Jarrett Jack,Indiana Pacers,2002623,2009, G
Brevin Knight,Utah Jazz,2000000,2009, PG
Walter Herrmann Heinrich,Detroit Pistons,2000000,2009, PF
Jerryd Bayless,Portland Trail Blazers,1993560,2009, G
Francisco Garcia,Sacramento Kings,1983454,2009, SG
Grant Hill,Phoenix Suns,1976400,2009, SF
Eddie Jones,New Orleans Pelicans,1976400,2009, SG
Thaddeus Young,Philadelphia 76ers,1968120,2009, PF
Luther Head,Miami Heat,1962378,2009, PG
Johan Petro,Denver Nuggets,1939893,2009, C
Thabo Sefolosha,Oklahoma City Thunder,1931160,2009, F
Anthony Johnson,Orlando Magic,1910000,2009, PG
Jarvis Hayes,Brooklyn Nets,1910000,2009, SF
Brent Barry,Houston Rockets,1910000,2009, SG
Jason Thompson,Sacramento Kings,1893840,2009, PF
Jason Maxiell,Detroit Pistons,1877572,2009, PF
Julian Wright,New Orleans Pelicans,1869600,2009, SF
Ronnie Brewer,Utah Jazz,1834680,2009, SF
Linas Kleiza,Denver Nuggets,1824493,2009, SF
Antoine Wright,Dallas Mavericks,1800000,2009, SF
Brandon Rush,Indiana Pacers,1799160,2009, F
David Lee,New York Knicks,1788033,2009, PF
Al Thornton,Los Angeles Clippers,1776240,2009, SF
Chuck Hayes,Houston Rockets,1768000,2009, PF
Cedric Simmons,Sacramento Kings,1742760,2009, SF
Anthony Randolph,Golden State Warriors,1709280,2009, SF
Goran Dragic,Phoenix Suns,1700000,2009, PG
Francisco Elson,Milwaukee Bucks,1700000,2009, C
Rodney Stuckey,Detroit Pistons,1687320,2009, PG
Rodney Carney,Minnesota Timberwolves,1655760,2009, SG
Kosta Perovic,Golden State Warriors,1634000,2009, C
Robin Lopez,Phoenix Suns,1623720,2009, C
Travis Diener,Indiana Pacers,1620000,2009, PG
Nick Young,Washington Wizards,1602960,2009, G
Devean George,Dallas Mavericks,1600000,2009, SF
Shawne Williams,Dallas Mavericks,1572960,2009, SF
Hamed Haddadi,Memphis Grizzlies,1572221,2009, C
Marreese Speights,Philadelphia 76ers,1542600,2009, F
Sean Williams,Brooklyn Nets,1522920,2009, PF
Ronald Murray,Atlanta Hawks,1500000,2009, SG
J.J. Barea,Dallas Mavericks,1500000,2009, G
Roy Hibbert,Indiana Pacers,1465440,2009, C
Marco Belinelli,Golden State Warriors,1446720,2009, G
Oleksiy Pecherov,Washington Wizards,1446720,2009, C
Quincy Douby,Toronto Raptors,1427040,2009, SG
Drew Gooden,San Antonio Spurs,1410441,2009, PF
JaVale McGee,Washington Wizards,1392240,2009, C
Javaris Crittenton,Washington Wizards,1381560,2009, PG
Renaldo Balkman,Denver Nuggets,1369920,2009, SF
JJ Hickson,Cleveland Cavaliers,1329480,2009, C
Jason Smith,New Orleans Pelicans,1326360,2009, F
Calvin Booth,Sacramento Kings,1319651,2009, C
Rajon Rondo,Boston Celtics,1315080,2009, PG
Malik Allen,Milwaukee Bucks,1300000,2009, PF
Alexis Ajinca,Charlotte Hornets,1276320,2009, C
Daequan Cook,Miami Heat,1273200,2009, SG
Marcus Williams,Golden State Warriors,1262520,2009, PG
Brian Skinner,Los Angeles Clippers,1262275,2009, PF
Jacque Vaughn,San Antonio Spurs,1262275,2009, PG
Roko-Leni Ukic,Toronto Raptors,1250000,2009, PG
Ryan Anderson,Brooklyn Nets,1225200,2009, PF
Jared Dudley,Phoenix Suns,1222320,2009, SF
Josh Boone,Brooklyn Nets,1212120,2009, C
Joe Smith,Cleveland Cavaliers,1200000,2009, PF
Ronnie Price,Utah Jazz,1188000,2009, PG
Kosta Koufos,Utah Jazz,1176240,2009, C
Courtney Lee,Orlando Magic,1176240,2009, G
Wilson Chandler,New York Knicks,1173480,2009, F
Kyle Lowry,Houston Rockets,1163520,2009, PG
Rudy Fernandez,Portland Trail Blazers,1084080,2009, SG
Morris Almond,Utah Jazz,1081440,2009, SG
Ime Udoka,San Antonio Spurs,1080000,2009, F
Jordan Farmar,Los Angeles Lakers,1080000,2009, PG
Aaron Brooks,Houston Rockets,1045560,2009, G
Maurice Ager,Brooklyn Nets,1042440,2009, SF
Nicolas Batum,Portland Trail Blazers,1040640,2009, PF
Mardy Collins,Los Angeles Clippers,1034760,2009, PG
Arron Afflalo,Detroit Pistons,1015440,2009, G
George Hill,San Antonio Spurs,1006200,2009, PG
Alando Tucker,Phoenix Suns,1001880,2009, SF
Loren Woods,Houston Rockets,998581,2009, C
Melvin Ely,New Orleans Pelicans,998398,2009, C
Devin Brown,New Orleans Pelicans,998398,2009, SG
Darrell Arthur,Memphis Grizzlies,977160,2009, F
Ryan Hollins,Dallas Mavericks,972581,2009, C
Chris Quinn,Miami Heat,972581,2009, PG
D.J. White,Oklahoma City Thunder,964080,2009, PF
J.R. Giddens,Boston Celtics,957120,2009, SG
Chris Richard,Chicago Bulls,886517,2009, PF
Didier Ilunga-Mbenga,Los Angeles Lakers,880658,2009, C
Yakhouba Diawara,Miami Heat,875000,2009, SG
Sergio Rodriguez,Portland Trail Blazers,874000,2009, PG
Royal Ivey,Philadelphia 76ers,854957,2009, PG
Josh Powell,Los Angeles Lakers,854957,2009, PF
Shaun Livingston,Oklahoma City Thunder,854957,2009, G
Ian Mahinmi,Washington Wizards,841000,2009, C
Stephen Graham,Indiana Pacers,826269,2009, SF
Salim Stoudamire,Atlanta Hawks,826269,2009, SG
Brandon Bass,Dallas Mavericks,826269,2009, PF
Joey Dorsey,Houston Rockets,816500,2009, PF
Kyrylo Fesenko,Utah Jazz,810000,2009, C
Donte Greene,Sacramento Kings,809300,2009, SF
Kyle Weaver,Oklahoma City Thunder,806452,2009, SG
Patrick O'Bryant,Toronto Raptors,797581,2009, C
Sean Marks,New Orleans Pelicans,797581,2009, PF
Leon Powe,Boston Celtics,797581,2009, PF
Luke Jackson,Miami Heat,797581,2009, SF
Jason Williams,Orlando Magic,797581,2009, PG
Jamaal Magloire,Miami Heat,797581,2009, C
Paul Davis,Los Angeles Clippers,797581,2009, C
James Singleton,Dallas Mavericks,797581,2009, F
Mike Wilks,Oklahoma City Thunder,797581,2009, PG
Michael Ruffin,Portland Trail Blazers,797581,2009, PF
Kevin Ollie,Minnesota Timberwolves,797581,2009, PG
Ryan Bowen,New Orleans Pelicans,797581,2009, SF
Desmon Farmer,San Antonio Spurs,797581,2009, SG
DerMarr Johnson,San Antonio Spurs,797581,2009, SF
Austin Croshere,San Antonio Spurs,797581,2009, PF
Dan Dickau,Los Angeles Clippers,797581,2009, PG
Paul Millsap,Utah Jazz,797581,2009, PF
Donyell Marshall,Philadelphia 76ers,797581,2009, PF
Von Wafer,Houston Rockets,797581,2009, SG
Linton Johnson,Chicago Bulls,797581,2009, PF
Adonal Foyle,Memphis Grizzlies,797581,2009, C
Lou Amundson,Phoenix Suns,797581,2009, PF
Quinton Ross,Memphis Grizzlies,797581,2009, SF
Devin Green,Los Angeles Lakers,797581,2009, SG
John Lucas III,Minnesota Timberwolves,797581,2009, PG
Steve Novak,Los Angeles Clippers,797581,2009, SF
Shannon Brown,Los Angeles Lakers,797581,2009, PG
Andre Brown,Charlotte Hornets,797581,2009, PF
Theo Ratliff,Philadelphia 76ers,797581,2009, C
Anthony Roberson,Chicago Bulls,797581,2009, SG
Kareem Rush,Philadelphia 76ers,797581,2009, SG
Keith McLeod,Golden State Warriors,797581,2009, PG
David Harrison,Indiana Pacers,797581,2009, C
Gerald Green,Dallas Mavericks,797581,2009, G
Tarence Kinsey,Cleveland Cavaliers,797581,2009, SG
Matt Barnes,Phoenix Suns,797581,2009, SF
Bobby Jones,Denver Nuggets,797581,2009, SF
Shavlik Randolph,Portland Trail Blazers,797581,2009, PF
Anthony Carter,Denver Nuggets,797581,2009, PG
Dahntay Jones,Denver Nuggets,797581,2009, SG
Chris Andersen,Denver Nuggets,797581,2009, PF
Lorenzen Wright,Cleveland Cavaliers,797581,2009, PF
Solomon Jones,Atlanta Hawks,797581,2009, PF
Sam Cassell,Boston Celtics,797581,2009, PG
Randolph Morris,Atlanta Hawks,797581,2009, C
Juan Dixon,Washington Wizards,797581,2009, SG
Luc Mbah a Moute,Milwaukee Bucks,757000,2009, F
Ramon Sessions,Milwaukee Bucks,722517,2009, G
Lindsey Hunter,Chicago Bulls,722515,2009, SG
Jamario Moon,Miami Heat,711517,2009, SF
Thomas Gardner,Atlanta Hawks,711517,2009, SG
Hassan Adams,Toronto Raptors,711517,2009, SF
Dominic McGuire,Washington Wizards,711517,2009, PF
Demetris Nichols,New York Knicks,711517,2009, SF
Mike Harris,Utah Jazz,711517,2009, SF
Darryl Watkins,New Orleans Pelicans,711517,2009, C
Will Solomon,Sacramento Kings,711517,2009, PG
Coby Karl,Denver Nuggets,711517,2009, PG
C.J. Watson,Golden State Warriors,711517,2009, PG
Cheikh Samb,New York Knicks,711517,2009, C
Mario West,Atlanta Hawks,711517,2009, SG
Joel Anthony,Miami Heat,711517,2009, C
Glen Davis,Boston Celtics,711517,2009, PF
JamesOn Curry,Los Angeles Clippers,711517,2009, PG
Alex Acker,Los Angeles Clippers,711517,2009, G
Marcin Gortat,Orlando Magic,711517,2009, C
Lance Allred,Cleveland Cavaliers,711517,2009, C
Aaron Gray,Chicago Bulls,711517,2009, C
Taurean Green,Denver Nuggets,711517,2009, PG
Josh McRoberts,Indiana Pacers,711517,2009, PF
Dee Brown,Phoenix Suns,711517,2009, PG
Anthony Tolliver,San Antonio Spurs,711517,2009, PF
D.J. Strawberry,Phoenix Suns,711517,2009, SG
Gabe Pruitt,Boston Celtics,711517,2009, PG
Stephane Lasme,Golden State Warriors,711517,2009, PF
Will Bynum,Detroit Pistons,711517,2009, PG
Mario Chalmers,Miami Heat,700000,2009, G
Dwayne Jones II,Charlotte Hornets,670906,2009, PF
Blake Ahearn,San Antonio Spurs,631995,2009, G
Antonio McDyess,Detroit Pistons,600532,2009, PF
Jeremy Richardson,Orlando Magic,591148,2009, SG
Juwan Howard,Charlotte Hornets,586457,2009, PF
Jake Voskuhl,Toronto Raptors,577073,2009, C
DeAndre Jordan,Los Angeles Clippers,550000,2009, C
Henry Walker,Boston Celtics,542114,2009, SF
Dikembe Mutombo,Houston Rockets,502007,2009, C
Mike Taylor,Los Angeles Clippers,500000,2009, PG
Fred Jones,Los Angeles Clippers,459782,2009, SG
Darius Miles,Memphis Grizzlies,450399,2009, SF
Darnell Jackson,Cleveland Cavaliers,450000,2009, PF
Brandon Heath,Sacramento Kings,442114,2009, SG
Joe Crawford,New York Knicks,442114,2009, SG
Steven Hill,Oklahoma City Thunder,442114,2009, C
Anthony Morrow,Golden State Warriors,442114,2009, SG
Sonny Weems,Denver Nuggets,442114,2009, SG
Sean Singletary,Charlotte Hornets,442114,2009, PG
Sun Yue,Los Angeles Lakers,442114,2009, SG
Nathan Jawai,Toronto Raptors,442114,2009, C
Walter Sharpe,Detroit Pistons,442114,2009, PF
Bobby Brown,Minnesota Timberwolves,442114,2009, PG
DeMarcus Nelson,Golden State Warriors,442114,2009, SG
Patrick Ewing Jr.,New Orleans Pelicans,442114,2009, SF
Chris Douglas-Roberts,Brooklyn Nets,442114,2009, SG
Rob Kurz,Golden State Warriors,442114,2009, SF
Othello Hunter,Atlanta Hawks,442114,2009, SF
Jermareo Davidson,Golden State Warriors,422725,2009, PF
Malik Hairston,San Antonio Spurs,299077,2009, SG
