NAME,TEAM,SALARY,YEAR,POS
Aaron Williams,Brooklyn Nets,2925000,2004, C
Tony Delk,Dallas Mavericks,2925000,2004, PG
Bobby Jackson,Sacramento Kings,2925000,2004, PG
Horace Grant,Los Angeles Lakers,2903000,2004, C
Hubert Davis,Brooklyn Nets,2894000,2004, SG
Corey Maggette,Los Angeles Clippers,2862000,2004, SF
Chris Mihm,Boston Celtics,2823000,2004, C
Michael Curry,Toronto Raptors,2800000,2004, SF
George Lynch,New Orleans Pelicans,2800000,2004, SF
Metta World Peace,Indiana Pacers,2676000,2004, SF
John Amaechi,New York Knicks,2610000,2004, PF
Jamal Crawford,Chicago Bulls,2577000,2004, G
Shane Battier,Memphis Grizzlies,2533000,2004, SF
James Posey,Memphis Grizzlies,2445000,2004, SF
Stacey Augmon,New Orleans Pelicans,2400000,2004, SF
Joel Przybilla,Atlanta Hawks,2373000,2004, C
Quincy Lewis,Minnesota Timberwolves,2350000,2004, SG
Dion Glover,Toronto Raptors,2270000,2004, SG
Jeff Foster,Indiana Pacers,2264000,2004, PF
Keyon Dooling,Los Angeles Clippers,2256000,2004, PG
Devean George,Los Angeles Lakers,2244000,2004, SF
Jerome Moiso,Toronto Raptors,2230000,2004, C
Kenny Thomas,Philadelphia 76ers,2225000,2004, PF
Etan Thomas,Washington Wizards,2211000,2004, C
Mateen Cleaves,Cleveland Cavaliers,2134000,2004, PG
DeSagana Diop,Cleveland Cavaliers,2118000,2004, C
Jason Collier,Atlanta Hawks,2109000,2004, C
Jumaine Jones,Boston Celtics,2104000,2004, SF
Scott Padgett,Houston Rockets,2102000,2004, PF
Hedo Turkoglu,San Antonio Spurs,1995000,2004, SF
Rodney White,Denver Nuggets,1948000,2004, SF
Desmond Mason,Milwaukee Bucks,1898000,2004, SF
Joe Johnson,Phoenix Suns,1850000,2004, G
Quentin Richardson,Los Angeles Clippers,1805000,2004, SF
Kedrick Brown,Cleveland Cavaliers,1757000,2004, SG
Jamaal Magloire,New Orleans Pelicans,1735000,2004, C
Vladimir Radmanovic,Oklahoma City Thunder,1670000,2004, SF
Speedy Claxton,Golden State Warriors,1667000,2004, PG
Morris Peterson,Toronto Raptors,1646000,2004, SG
Donnell Harvey,Phoenix Suns,1631000,2004, PF
DeShawn Stevenson,Orlando Magic,1624000,2004, SG
Richard Jefferson,Brooklyn Nets,1586000,2004, F
Jake Tsakalidis,Memphis Grizzlies,1580000,2004, C
Mamadou N'diaye,Atlanta Hawks,1537000,2004, C
Troy Murphy,Golden State Warriors,1507000,2004, PF
Mark Madsen,Minnesota Timberwolves,1474000,2004, PF
Bryce Drew,New Orleans Pelicans,1300000,2004, PG
Michael Bradley,Atlanta Hawks,1292000,2004, PF
Jason Collins,Brooklyn Nets,1227000,2004, C
Zach Randolph,Portland Trail Blazers,1172000,2004, F
Brandon Armstrong,Brooklyn Nets,995000,2004, SG
Andrei Kirilenko,Utah Jazz,956000,2004, SF
Samuel Dalembert,Philadelphia 76ers,887000,2004, C
Primoz Brezec,Indiana Pacers,862000,2004, C
Jamaal Tinsley,Indiana Pacers,861000,2004, PG
Tony Parker,San Antonio Spurs,856000,2004, G
Gerald Wallace,Sacramento Kings,764000,2004, SF
Predrag Drobnjak,Los Angeles Clippers,639000,2004, C
Trenton Hassell,Minnesota Timberwolves,587000,2004, SF
Shaquille O'Neal,Miami Heat,29464000,2005, C
Dikembe Mutombo,Houston Rockets,19684000,2005, C
Allan Houston,New York Knicks,17531000,2005, SG
Chris Webber,Philadelphia 76ers,17351000,2005, C
Damon Stoudamire,Portland Trail Blazers,15750000,2005, PG
Antoine Walker,Boston Celtics,14625000,2005, PF
Shareef Abdur-Rahim,Portland Trail Blazers,14625000,2005, PF
Allen Iverson,Philadelphia 76ers,14625000,2005, SG
