FIRST_NAME,LAST_NAME,P_ID,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,GS,MIN,FGM,FGA,FG%,FG3M,FG3A,FG3%,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM,MPG,factor,vop,drbp,uPER,T_PACE,L_PACE,adjustment,aPER,PER
Rondae,Hollis-Jefferson,1626178,2016-17,1610612751,BKN,22,78,50.0,1761,235,542,0.434,15.0,67.0,0.224,190,253,0.751,96.0,356.0,452.0,154,82.0,44.0,116.0,177,675,Brooklyn Nets,22.58,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3283657296190161,8304137.468797152,8303179.883760957,0.9998846857918967,0.32832786438493683,14.51
Richaun,Holmes,1626158,2016-17,1610612755,PHI,23,57,17.0,1193,230,412,0.558,27.0,77.0,0.351,72,103,0.699,94.0,217.0,311.0,58,42.0,55.0,55.0,136,559,Philadelphia 76ers,20.93,0.044195362537046826,1.072746188731722,0.7681900774213936,0.44799038431431315,8304554.110898259,8303179.883760957,0.9998345212615932,0.44791625143069846,19.79
Rodney,Hood,203918,2016-17,1610612762,UTA,24,59,55.0,1593,272,666,0.408,114.0,307.0,0.371,90,115,0.783,16.0,186.0,202.0,96,38.0,11.0,65.0,132,748,Utah Jazz,27.0,0.044195362537046826,1.072746188731722,0.7681900774213936,0.28511346316696073,8220776.690668233,8303179.883760957,1.0100237722289993,0.28797137558116753,12.73
Al,Horford,201143,2016-17,1610612738,BOS,31,68,68.0,2193,379,801,0.473,86.0,242.0,0.355,108,135,0.8,95.0,370.0,465.0,337,52.0,86.0,115.0,138,952,Boston Celtics,32.25,0.044195362537046826,1.072746188731722,0.7681900774213936,0.41898182714952154,8223179.472674368,8303179.883760957,1.009728647094768,0.4230579534849803,18.7
Dwight,Howard,2730,2016-17,1610612737,ATL,31,74,74.0,2199,388,613,0.633,0.0,2.0,0.0,226,424,0.533,296.0,644.0,940.0,104,64.0,92.0,170.0,203,1002,Atlanta Hawks,29.72,0.044195362537046826,1.072746188731722,0.7681900774213936,0.48393171322740536,8288577.343970669,8303179.883760957,1.0017617667283891,0.48478428801858175,21.42
Kris,Humphries,2743,2016-17,1610612737,ATL,32,56,4.0,689,87,214,0.407,19.0,54.0,0.352,64,82,0.78,60.0,146.0,206.0,29,15.0,21.0,28.0,69,257,Atlanta Hawks,12.3,0.044195362537046826,1.072746188731722,0.7681900774213936,0.318830803353371,8288577.343970669,8303179.883760957,1.0017617667283891,0.31939250885470455,14.11
Serge,Ibaka,201586,2016-17,1610612753,ORL,27,56,56.0,1710,343,703,0.488,83.0,214.0,0.388,77,91,0.846,100.0,282.0,382.0,60,34.0,91.0,66.0,139,846,Orlando Magic,30.66,0.044195362537046826,1.072746188731722,0.7681900774213936,0.41553032428520437,8153542.855620405,8303179.883760957,1.0183523936514793,0.4231563003706133,18.7
Serge,Ibaka,201586,2016-17,1610612761,TOR,27,23,23.0,712,128,279,0.459,41.0,103.0,0.398,30,34,0.882,29.0,127.0,156.0,15,7.0,33.0,39.0,76,327,Toronto Raptors,30.66,0.044195362537046826,1.072746188731722,0.7681900774213936,0.31883874012010366,8215513.355049687,8303179.883760957,1.0106708521942072,0.32224102118971254,14.24
Andre,Iguodala,2738,2016-17,1610612744,GSW,33,76,0.0,1998,219,415,0.528,64.0,177.0,0.362,72,102,0.706,51.0,253.0,304.0,261,76.0,39.0,58.0,97,574,Golden State Warriors,26.29,0.044195362537046826,1.072746188731722,0.7681900774213936,0.34044509065046263,8128641.17301575,8303179.883760957,1.0214720648913147,0.34775514972883886,15.37
Ersan,Ilyasova,101141,2016-17,1610612755,PHI,30,53,40.0,1447,285,648,0.44,107.0,298.0,0.359,109,142,0.768,71.0,243.0,314.0,97,33.0,14.0,78.0,133,786,Philadelphia 76ers,26.12,0.044195362537046826,1.072746188731722,0.7681900774213936,0.3817584298531501,8304554.110898259,8303179.883760957,0.9998345212615932,0.3816952569498019,16.87
