TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,TEAM_ID,ELO
Orlando Magic,2909,6406,315.0,896.0,1714,2231,939.0,2388.0,3327.0,1537,608.0,416.0,1219.0,1759,7847,14.95,2004-05,0,0,0,0,0,,36,46,0.439,23  ,21-31,6-10 ,24-17,12-29,0-1 ,1610612753,1263.1174599969313
Philadelphia 76ers,2802,6365,463.0,1319.0,1677,2111,820.0,2347.0,3167.0,1643,713.0,302.0,1183.0,1715,7744,15.21,2004-05,1,0,0,0,0,7.0,43,39,0.524,16  ,33-19,8-8  ,25-16,18-23,4-3 ,1610612755,1434.607487017687
Phoenix Suns,3239,6736,767.0,1953.0,1499,1991,892.0,2464.0,3356.0,1868,546.0,420.0,1026.0,1377,8744,18.6,2004-05,1,1,1,0,0,3.0,62,20,0.756,--  ,38-14,12-4 ,31-10,31-10,1-3 ,1610612756,1603.80361154146
Portland Trail Blazers,2817,6237,389.0,1081.0,1376,1896,930.0,2327.0,3257.0,1684,562.0,531.0,1206.0,1631,7399,14.76,2004-05,0,0,0,0,0,,27,55,0.329,35  ,13-39,4-12 ,18-23,9-32 ,0-3 ,1610612757,1238.0023802001542
Sacramento Kings,3065,6664,516.0,1369.0,1474,1864,951.0,2359.0,3310.0,1942,644.0,310.0,978.0,1561,8120,17.11,2004-05,1,0,0,0,0,6.0,50,32,0.61,12  ,28-24,10-6 ,30-11,20-21,5-2 ,1610612758,1424.1982077512218
San Antonio Spurs,2767,6050,499.0,1361.0,1441,1987,880.0,2330.0,3210.0,1710,583.0,492.0,1003.0,1569,7474,15.9,2004-05,1,1,1,1,1,8.0,59,23,0.72,3   ,36-16,10-6 ,38-3 ,21-20,3-0 ,1610612759,1638.6598790820774
Toronto Raptors,2901,6529,648.0,1676.0,1593,2052,808.0,2364.0,3172.0,1644,600.0,306.0,1007.0,1772,8043,15.31,2004-05,0,0,0,0,0,,33,49,0.402,26  ,20-32,7-9  ,22-19,11-30,1-4 ,1610612761,1294.331851548424
Utah Jazz,2757,6147,245.0,753.0,1688,2228,1012.0,2173.0,3185.0,1762,522.0,365.0,1178.0,2074,7447,13.3,2004-05,0,0,0,0,0,,26,56,0.317,36  ,20-32,6-10 ,18-23,8-33 ,1-3 ,1610612762,1256.9219889201438
Washington Wizards,2871,6563,502.0,1459.0,1772,2437,1090.0,2291.0,3381.0,1508,696.0,328.0,1081.0,1717,8016,14.67,2004-05,1,1,0,0,0,10.0,45,37,0.549,14  ,28-24,10-6 ,29-12,16-25,3-1 ,1610612764,1400.8346213672571
Atlanta Hawks,2646,6092,407.0,1212.0,1441,1839,864.0,2259.0,3123.0,1596,588.0,349.0,1184.0,1621,7140,14.42,2003-04,0,0,0,0,0,,28,54,0.341,33  ,28-54,28-54,18-23,10-31,0-6 ,1610612737,1289.1809558701173
Boston Celtics,2587,5840,519.0,1479.0,1489,1957,682.0,2133.0,2815.0,1577,711.0,282.0,1194.0,1588,7182,15.09,2003-04,1,0,0,0,0,8.0,36,46,0.439,25  ,36-46,36-46,19-22,17-24,0-1 ,1610612738,1304.2336105350753
Brooklyn Nets,2611,5845,345.0,1025.0,1311,1732,808.0,2342.0,3150.0,1870,656.0,309.0,1054.0,1516,6878,15.66,2003-04,0,0,0,0,0,4.0,47,35,0.573,14  ,47-35,47-35,28-13,19-22,1-0 ,1610612751,1458.6526404105232
Chicago Bulls,2522,6073,356.0,1058.0,1231,1699,959.0,2295.0,3254.0,1570,586.0,345.0,1095.0,1663,6631,13.89,2003-04,0,0,0,0,0,,23,59,0.28,38  ,23-59,23-59,14-27,9-32 ,3-3 ,1610612741,1194.7659039268374
Cleveland Cavaliers,2686,6159,207.0,672.0,1431,1898,1006.0,2398.0,3404.0,1709,536.0,498.0,1071.0,1536,7010,14.79,2003-04,0,0,0,0,0,,35,47,0.427,26  ,35-47,35-47,23-18,12-29,3-3 ,1610612739,1371.9398636562062
Dallas Mavericks,3285,7144,507.0,1455.0,1468,1840,1159.0,2492.0,3651.0,1952,651.0,427.0,954.0,1558,8545,18.45,2003-04,1,0,0,0,0,5.0,52,30,0.634,6   ,52-30,52-30,36-5 ,16-25,2-2 ,1610612742,1473.2347248965082
Denver Nuggets,2884,6451,326.0,970.0,1605,2095,986.0,2240.0,3226.0,1748,711.0,490.0,1158.0,1634,7699,16.26,2003-04,1,0,0,0,0,8.0,43,39,0.524,15  ,43-39,43-39,29-12,14-27,1-1 ,1610612743,1418.862936537324
Detroit Pistons,2656,6070,331.0,956.0,1491,1969,919.0,2349.0,3268.0,1660,625.0,535.0,1109.0,1482,7134,15.22,2003-04,1,1,1,1,1,12.0,54,28,0.659,7   ,54-28,54-28,31-10,23-18,3-1 ,1610612765,1633.8651857284165
Golden State Warriors,2851,6449,428.0,1274.0,1455,2006,993.0,2511.0,3504.0,1664,574.0,385.0,1138.0,1668,7585,15.83,2003-04,0,0,0,0,0,,37,45,0.451,21  ,37-45,37-45,27-14,10-31,2-4 ,1610612744,1417.6094914259224
Houston Rockets,2668,6009,500.0,1371.0,1327,1710,823.0,2556.0,3379.0,1493,530.0,436.0,1239.0,1676,7163,14.0,2003-04,1,0,0,0,0,7.0,45,37,0.549,13  ,45-37,45-37,27-14,18-23,5-2 ,1610612745,1406.330187224039
Indiana Pacers,2676,6146,434.0,1241.0,1492,1953,949.0,2400.0,3349.0,1745,713.0,397.0,1059.0,1663,7278,15.35,2003-04,1,1,1,0,0,3.0,61,21,0.744,--  ,61-21,61-21,34-7 ,27-14,3-2 ,1610612754,1549.136601785187
Los Angeles Clippers,2793,6492,324.0,993.0,1783,2275,1137.0,2374.0,3511.0,1624,585.0,375.0,1260.0,1785,7693,14.11,2003-04,0,0,0,0,0,,28,54,0.341,30  ,28-54,28-54,18-23,10-31,2-3 ,1610612746,1206.2141910641994
Los Angeles Lakers,2936,6473,362.0,1102.0,1590,2296,946.0,2423.0,3369.0,1906,660.0,358.0,1052.0,1639,7824,15.96,2003-04,1,1,1,1,0,8.0,56,26,0.683,2   ,56-26,56-26,34-7 ,22-19,5-0 ,1610612747,1603.4995929683737
Memphis Grizzlies,2894,6432,429.0,1250.0,1537,2113,1020.0,2319.0,3339.0,1868,778.0,552.0,1130.0,1842,7754,16.6,2003-04,1,0,0,0,0,6.0,50,32,0.61,8   ,50-32,50-32,31-10,19-22,5-0 ,1610612763,1453.0332208195
Miami Heat,2596,6080,475.0,1325.0,1387,1815,875.0,2319.0,3194.0,1527,569.0,289.0,1017.0,1669,7054,14.3,2003-04,1,1,0,0,0,8.0,42,40,0.512,19  ,42-40,42-40,29-12,13-28,2-1 ,1610612748,1461.746610350612
Milwaukee Bucks,2885,6463,398.0,1138.0,1647,2124,935.0,2415.0,3350.0,1767,519.0,371.0,1030.0,1580,7815,17.02,2003-04,1,0,0,0,0,6.0,41,41,0.5,20  ,41-41,41-41,27-14,14-27,1-3 ,1610612749,1333.946919966878
Minnesota Timberwolves,2968,6374,315.0,850.0,1317,1686,864.0,2599.0,3463.0,1793,538.0,454.0,960.0,1648,7568,15.47,2003-04,1,1,1,0,0,3.0,58,24,0.707,--  ,58-24,58-24,31-10,27-14,2-1 ,1610612750,1589.6230088217192
New Orleans Pelicans,2698,6387,522.0,1625.0,1421,1894,1079.0,2348.0,3427.0,1636,681.0,340.0,1101.0,1638,7339,15.37,2003-04,0,0,0,0,0,5.0,41,41,0.5,20  ,41-41,41-41,25-16,16-25,3-3 ,1610612740,1365.9823604013714
New York Knicks,2599,5862,380.0,1041.0,1195,1492,788.0,2235.0,3023.0,1551,526.0,347.0,1110.0,1642,6773,14.65,2003-04,1,0,0,0,0,7.0,39,43,0.476,22  ,39-43,39-43,23-18,16-25,2-5 ,1610612752,1333.036679082009
Oklahoma City Thunder,2875,6449,689.0,1844.0,1340,1756,894.0,2273.0,3167.0,1758,645.0,383.0,1121.0,1733,7779,15.24,2003-04,0,0,0,0,0,,37,45,0.451,21  ,37-45,37-45,21-20,16-25,1-4 ,1610612760,1368.6114477201818
Orlando Magic,2770,6389,423.0,1213.0,1387,1875,918.0,2180.0,3098.0,1496,504.0,287.0,995.0,1578,7350,13.95,2003-04,0,0,0,0,0,,21,61,0.256,40  ,21-61,21-61,11-30,10-31,3-3 ,1610612753,1195.9153639082008
Philadelphia 76ers,2631,6165,339.0,992.0,1445,1913,892.0,2311.0,3203.0,1627,646.0,350.0,1180.0,1627,7046,13.29,2003-04,0,0,0,0,0,,33,49,0.402,28  ,33-49,33-49,21-20,12-29,2-3 ,1610612755,1285.0964789127434
Phoenix Suns,2777,6265,413.0,1195.0,1331,1785,858.0,2203.0,3061.0,1532,685.0,351.0,1133.0,1667,7298,13.86,2003-04,0,0,0,0,0,,29,53,0.354,29  ,29-53,29-53,18-23,11-30,2-0 ,1610612756,1347.010605944556
Portland Trail Blazers,2729,6026,364.0,1049.0,1189,1624,952.0,2226.0,3178.0,1645,553.0,423.0,1041.0,1390,7011,14.9,2003-04,0,0,0,0,0,,41,41,0.5,17  ,41-41,41-41,25-16,16-25,6-5 ,1610612757,1434.0826029580842
Sacramento Kings,3026,6496,601.0,1491.0,1600,1994,836.0,2424.0,3260.0,2115,688.0,304.0,1088.0,1515,8253,17.77,2003-04,1,1,0,0,0,8.0,55,27,0.671,3   ,55-27,55-27,34-7 ,21-20,1-3 ,1610612758,1528.6523249337083
San Antonio Spurs,2706,6081,379.0,1050.0,1374,2013,986.0,2548.0,3534.0,1602,615.0,525.0,1074.0,1557,7165,15.66,2003-04,1,1,0,0,0,6.0,57,25,0.695,1   ,57-25,57-25,33-8 ,24-17,1-1 ,1610612759,1626.108880480568
Toronto Raptors,2397,5717,444.0,1233.0,1103,1436,648.0,2002.0,2650.0,1409,496.0,348.0,937.0,1421,6341,11.5,2003-04,0,0,0,0,0,,33,49,0.402,28  ,33-49,33-49,18-23,15-26,6-5 ,1610612761,1269.8946628042286
Utah Jazz,2581,5946,252.0,785.0,1574,2108,1032.0,2128.0,3160.0,1627,567.0,462.0,1198.0,1942,6988,12.61,2003-04,0,0,0,0,0,,42,40,0.512,16  ,42-40,42-40,28-13,14-27,2-2 ,1610612762,1421.8499866673944
Washington Wizards,2722,6473,425.0,1250.0,1565,2194,1098.0,2358.0,3456.0,1517,725.0,398.0,1358.0,1675,7434,14.7,2003-04,0,0,0,0,0,,25,57,0.305,36  ,25-57,25-57,17-24,8-33 ,2-4 ,1610612764,1218.0090583633764
Atlanta Hawks,2671,5938,381.0,1062.0,1480,1848,838.0,2329.0,3167.0,1524,544.0,434.0,1202.0,1550,7203,14.0,2002-03,0,0,0,0,0,,35,47,0.427,15  ,24-30,14-14,26-15,9-32 ,3-4 ,1610612737,1374.6777480772216
Boston Celtics,2635,6328,715.0,2128.0,1453,1957,815.0,2379.0,3194.0,1525,699.0,297.0,1066.0,1644,7438,13.79,2002-03,1,1,0,0,0,12.0,44,38,0.537,6   ,31-23,13-12,25-16,19-22,3-2 ,1610612738,1353.5813675324146
Brooklyn Nets,2852,6432,337.0,1003.0,1648,2176,980.0,2496.0,3476.0,1855,692.0,369.0,1152.0,1716,7689,15.46,2002-03,0,0,0,0,0,8.0,49,33,0.598,1   ,34-20,16-8 ,33-8 ,16-25,1-2 ,1610612751,1532.499564453075
Chicago Bulls,2949,6607,339.0,973.0,1440,1996,972.0,2503.0,3475.0,1730,588.0,455.0,1303.0,1977,7677,15.15,2002-03,0,0,0,0,0,,30,52,0.366,20  ,22-32,12-16,27-14,3-38 ,1-8 ,1610612741,1329.396459172129
Cleveland Cavaliers,2809,6650,293.0,895.0,1483,1986,1091.0,2484.0,3575.0,1667,621.0,506.0,1398.0,1813,7394,13.51,2002-03,0,0,0,0,0,,17,65,0.207,33  ,9-45 ,5-23 ,14-27,3-38 ,1-4 ,1610612739,1181.112535101436
Dallas Mavericks,3026,6636,634.0,1657.0,1443,1731,840.0,2440.0,3280.0,1730,625.0,436.0,842.0,1598,8129,17.39,2002-03,1,1,1,0,0,9.0,60,22,0.732,--  ,34-18,18-6 ,33-8 ,27-14,2-2 ,1610612742,1572.2530935118034
Denver Nuggets,2564,6159,208.0,737.0,1235,1766,1076.0,2289.0,3365.0,1610,664.0,418.0,1345.0,1951,6571,12.51,2002-03,0,0,0,0,0,,17,65,0.207,43  ,8-44 ,3-21 ,13-28,4-37 ,1-1 ,1610612743,1152.6284330403205
Detroit Pistons,2523,5895,498.0,1397.0,1499,1942,834.0,2297.0,3131.0,1543,521.0,434.0,973.0,1603,7043,14.37,2002-03,1,1,1,0,0,3.0,50,32,0.61,--  ,35-19,19-9 ,30-11,20-21,8-0 ,1610612765,1416.1203122636537
Golden State Warriors,2960,6637,409.0,1185.0,1775,2278,1214.0,2436.0,3650.0,1622,558.0,499.0,1183.0,1663,8104,17.45,2002-03,0,0,0,0,0,,38,44,0.463,22  ,19-33,8-16 ,24-17,14-27,1-2 ,1610612744,1358.205462560031
Houston Rockets,2809,6382,437.0,1254.0,1557,2024,1008.0,2533.0,3541.0,1497,587.0,489.0,1187.0,1575,7612,14.67,2002-03,0,0,0,0,0,,43,39,0.524,17  ,26-26,11-13,28-13,15-26,4-5 ,1610612745,1422.316590403385
Indiana Pacers,2860,6480,366.0,1078.0,1718,2234,981.0,2589.0,3570.0,1859,677.0,437.0,1120.0,1763,7804,16.79,2002-03,1,0,0,0,0,3.0,48,34,0.585,2   ,35-19,19-9 ,32-9 ,16-25,6-2 ,1610612754,1367.5308412916995
Los Angeles Clippers,2700,6188,374.0,1131.0,1566,2069,950.0,2339.0,3289.0,1574,559.0,439.0,1189.0,1678,7340,14.06,2002-03,0,0,0,0,0,,27,55,0.329,33  ,16-36,6-18 ,16-25,11-30,1-2 ,1610612746,1284.2590635915783
Los Angeles Lakers,3021,6668,471.0,1305.0,1549,2114,1054.0,2495.0,3549.0,1854,621.0,460.0,1113.0,1794,8062,15.36,2002-03,1,1,0,0,0,10.0,50,32,0.61,10  ,33-19,15-9 ,31-10,19-22,6-3 ,1610612747,1595.0177742180306
Memphis Grizzlies,2937,6490,441.0,1224.0,1380,1856,919.0,2367.0,3286.0,1845,635.0,483.0,1164.0,1588,7695,15.83,2002-03,0,0,0,0,0,,28,54,0.341,32  ,12-40,5-19 ,20-21,8-33 ,3-6 ,1610612763,1288.6703153162323
Miami Heat,2595,6292,348.0,1095.0,1223,1586,910.0,2352.0,3262.0,1467,579.0,303.0,1052.0,1756,6761,12.87,2002-03,0,0,0,0,0,,25,57,0.305,25  ,18-36,5-19 ,16-25,9-32 ,2-3 ,1610612748,1216.4117190873246
Milwaukee Bucks,2970,6489,582.0,1510.0,1452,1865,854.0,2333.0,3187.0,1810,610.0,326.0,971.0,1765,7974,15.58,2002-03,1,0,0,0,0,7.0,42,40,0.512,8   ,32-22,16-12,25-16,17-24,4-4 ,1610612749,1383.2035409657954
Minnesota Timberwolves,3073,6558,286.0,771.0,1313,1700,899.0,2501.0,3400.0,1964,522.0,416.0,1024.0,1580,7745,17.05,2002-03,1,0,0,0,0,4.0,51,31,0.622,9   ,33-19,15-9 ,33-8 ,18-23,3-2 ,1610612750,1506.5959163402297
New Orleans Pelicans,2789,6368,400.0,1058.0,1406,1827,1068.0,2388.0,3456.0,1634,611.0,385.0,1059.0,1679,7384,15.2,2002-03,0,0,0,0,0,5.0,47,35,0.573,3   ,32-22,17-11,29-12,18-23,5-4 ,1610612740,1441.943965339024
New York Knicks,2835,6399,598.0,1557.0,1251,1535,788.0,2276.0,3064.0,1723,556.0,241.0,1048.0,1769,7519,14.7,2002-03,0,0,0,0,0,,37,45,0.451,13  ,23-31,9-15 ,24-17,13-28,3-3 ,1610612752,1358.97372853818
Oklahoma City Thunder,2777,6311,456.0,1287.0,1271,1703,887.0,2246.0,3133.0,1726,643.0,274.0,954.0,1571,7281,14.9,2002-03,0,0,0,0,0,,40,42,0.488,20  ,26-26,11-13,25-16,15-26,3-4 ,1610612760,1449.727620045982
Orlando Magic,2815,6439,561.0,1554.0,1562,1984,876.0,2233.0,3109.0,1630,663.0,244.0,1080.0,1725,7753,15.09,2002-03,1,0,0,0,0,8.0,42,40,0.512,8   ,31-23,14-11,26-15,16-25,0-4 ,1610612753,1378.958783712823
Philadelphia 76ers,2849,6307,240.0,776.0,1689,2168,940.0,2258.0,3198.0,1711,806.0,261.0,1099.0,1642,7627,15.57,2002-03,1,1,0,0,0,14.0,48,34,0.585,2   ,35-19,17-7 ,25-16,23-18,4-3 ,1610612755,1441.3823637730732
Phoenix Suns,2926,6592,394.0,1148.0,1411,1904,1021.0,2336.0,3357.0,1652,634.0,397.0,1115.0,1723,7657,14.03,2002-03,1,0,0,0,0,8.0,44,38,0.537,16  ,26-26,12-12,30-11,14-27,2-3 ,1610612756,1459.7958758474542
Portland Trail Blazers,2927,6367,376.0,1140.0,1440,1923,974.0,2340.0,3314.0,1846,708.0,315.0,1161.0,1592,7670,15.9,2002-03,1,0,0,0,0,6.0,50,32,0.61,10  ,29-23,15-9 ,27-14,23-18,4-2 ,1610612757,1486.4778840959143
Sacramento Kings,3164,6808,490.0,1287.0,1331,1773,836.0,2646.0,3482.0,2010,720.0,431.0,1136.0,1585,8149,18.47,2002-03,1,1,0,0,0,4.0,59,23,0.72,1   ,36-16,17-7 ,35-6 ,24-17,3-3 ,1610612758,1601.0910046294134
San Antonio Spurs,2827,6107,446.0,1248.0,1550,2131,911.0,2508.0,3419.0,1552,604.0,522.0,1212.0,1607,7650,14.78,2002-03,1,1,1,1,0,4.0,60,22,0.732,--  ,36-16,17-7 ,33-8 ,27-14,5-1 ,1610612759,1671.1502340634588
Toronto Raptors,2737,6385,407.0,1180.0,1269,1770,959.0,2227.0,3186.0,1525,582.0,340.0,1039.0,1621,7150,13.28,2002-03,0,0,0,0,0,,24,58,0.293,26  ,18-36,10-18,15-26,9-32 ,2-3 ,1610612761,1187.3191597440382
Utah Jazz,2769,5876,221.0,633.0,1663,2213,952.0,2287.0,3239.0,2015,677.0,453.0,1221.0,1689,7422,15.06,2002-03,1,0,0,0,0,7.0,47,35,0.573,13  ,30-22,15-9 ,29-12,18-23,2-2 ,1610612762,1449.2493550645154
Washington Wizards,2712,6155,249.0,798.0,1546,1981,818.0,2278.0,3096.0,1572,602.0,370.0,992.0,1531,7219,13.77,2002-03,0,0,0,0,0,,37,45,0.451,13  ,26-28,11-13,23-18,14-27,3-2 ,1610612764,1299.5753863836244
Atlanta Hawks,2796,6390,422.0,1192.0,1428,1845,895.0,2329.0,3224.0,1634,647.0,320.0,1162.0,1619,7442,13.41,2001-02,0,0,0,0,0,,33,49,0.402,19  ,21-33,11-17,23-18,10-31,1-2 ,1610612737,1346.3806493099896
Boston Celtics,2796,6572,694.0,1916.0,1452,1899,853.0,2467.0,3320.0,1689,757.0,265.0,1049.0,1697,7738,14.83,2001-02,1,1,1,0,0,9.0,49,33,0.598,3   ,35-19,17-7 ,27-14,22-19,4-2 ,1610612738,1511.6267911860807
Brooklyn Nets,2913,6439,389.0,1144.0,1343,1818,986.0,2399.0,3385.0,1872,657.0,480.0,1098.0,1602,7558,16.5,2001-02,0,0,0,0,0,4.0,52,30,0.634,--  ,35-19,16-8 ,33-8 ,19-22,4-2 ,1610612751,1520.5954748426243
Charlotte Hornets,2835,6406,330.0,934.0,1553,2085,1040.0,2432.0,3472.0,1734,648.0,451.0,1085.0,1696,7553,15.3,2001-02,1,1,0,0,0,8.0,44,38,0.537,8   ,31-23,17-11,21-20,23-18,1-2 ,1610612766,1439.8739018361366
Chicago Bulls,2712,6281,270.0,802.0,1397,1936,917.0,2325.0,3242.0,1761,615.0,356.0,1134.0,1811,7091,14.05,2001-02,0,0,0,0,0,,21,61,0.256,31  ,13-41,5-23 ,14-27,7-34 ,3-1 ,1610612741,1239.2157047098658
Cleveland Cavaliers,2859,6354,360.0,951.0,1482,1922,947.0,2420.0,3367.0,1814,550.0,451.0,1066.0,1676,7560,14.46,2001-02,0,0,0,0,0,,29,53,0.354,23  ,20-34,12-16,20-21,9-32 ,4-2 ,1610612739,1271.5064161273
Dallas Mavericks,3144,6793,621.0,1643.0,1565,1919,869.0,2460.0,3329.0,1764,558.0,376.0,921.0,1729,8474,16.64,2001-02,1,1,0,0,0,8.0,57,25,0.695,4   ,34-18,16-8 ,30-11,27-14,5-2 ,1610612742,1554.5723044360925
Denver Nuggets,2582,6080,384.0,1175.0,1162,1558,917.0,2014.0,2931.0,1602,540.0,401.0,963.0,1570,6710,13.61,2001-02,0,0,0,0,0,,27,55,0.329,34  ,19-33,8-16 ,20-21,7-34 ,2-3 ,1610612743,1288.56304874123
Detroit Pistons,2769,6112,561.0,1489.0,1439,1903,777.0,2292.0,3069.0,1734,631.0,553.0,1101.0,1640,7538,14.97,2001-02,1,1,0,0,0,4.0,50,32,0.61,2   ,38-16,20-8 ,26-15,24-17,0-0 ,1610612765,1456.6032098639926
Golden State Warriors,2940,6832,316.0,977.0,1643,2280,1313.0,2450.0,3763.0,1673,634.0,517.0,1291.0,1833,7839,15.45,2001-02,0,0,0,0,0,,21,61,0.256,40  ,13-39,5-19 ,14-27,7-34 ,1-3 ,1610612744,1171.8760038461744
Houston Rockets,2698,6294,491.0,1463.0,1349,1822,960.0,2285.0,3245.0,1389,504.0,433.0,1012.0,1385,7236,13.61,2001-02,0,0,0,0,0,,28,54,0.341,33  ,18-34,9-15 ,18-23,10-31,5-5 ,1610612745,1261.2047043498874
Indiana Pacers,2854,6393,403.0,1182.0,1627,2098,884.0,2495.0,3379.0,1852,646.0,417.0,1164.0,1790,7738,16.39,2001-02,1,0,0,0,0,8.0,42,40,0.512,10  ,27-27,13-15,25-16,17-24,3-4 ,1610612754,1411.1018619769843
Los Angeles Clippers,2872,6415,397.0,1105.0,1421,1920,1014.0,2391.0,3405.0,1658,484.0,528.0,1098.0,1513,7562,15.16,2001-02,0,0,0,0,0,,39,43,0.476,22  ,23-29,9-15 ,25-16,14-27,0-5 ,1610612746,1341.951060484792
Los Angeles Lakers,3134,6805,510.0,1435.0,1485,2121,1014.0,2587.0,3601.0,1871,622.0,473.0,986.0,1807,8263,16.88,2001-02,1,1,1,1,1,12.0,58,24,0.707,3   ,37-15,16-8 ,34-7 ,24-17,1-2 ,1610612747,1716.4131917013704
Memphis Grizzlies,2690,6099,300.0,974.0,1267,1797,937.0,2245.0,3182.0,1679,605.0,462.0,1191.0,1434,6947,13.78,2001-02,0,0,0,0,0,,23,59,0.28,38  ,14-38,7-17 ,15-26,8-33 ,2-1 ,1610612763,1254.331027608682
Miami Heat,2701,6126,297.0,848.0,1198,1645,857.0,2424.0,3281.0,1623,524.0,427.0,1107.0,1742,6897,13.22,2001-02,0,0,0,0,0,,36,46,0.439,16  ,22-32,10-14,18-23,18-23,7-2 ,1610612748,1373.7800413422938
Milwaukee Bucks,2967,6405,589.0,1553.0,1280,1699,797.0,2470.0,3267.0,1817,581.0,372.0,1078.0,1698,7803,15.65,2001-02,0,0,0,0,0,,41,41,0.5,11  ,29-25,17-11,25-16,16-25,2-6 ,1610612749,1314.6257479375474
Minnesota Timberwolves,3063,6571,389.0,1004.0,1346,1681,1001.0,2437.0,3438.0,1893,493.0,415.0,1003.0,1611,7861,15.88,2001-02,1,0,0,0,0,5.0,50,32,0.61,11  ,29-23,15-9 ,29-12,21-20,2-2 ,1610612750,1407.1704737919802
New York Knicks,2741,6293,467.0,1316.0,1342,1691,810.0,2352.0,3162.0,1704,534.0,270.0,1105.0,1624,7291,13.87,2001-02,0,0,0,0,0,,30,52,0.366,22  ,20-34,4-20 ,19-22,11-30,2-2 ,1610612752,1283.1245337105568
Oklahoma City Thunder,3033,6448,488.0,1284.0,1204,1597,900.0,2214.0,3114.0,1867,675.0,342.0,1048.0,1612,7758,14.91,2001-02,0,0,0,0,0,7.0,45,37,0.549,16  ,26-26,13-11,26-15,19-22,3-2 ,1610612760,1457.8321248766167
Orlando Magic,3053,6801,612.0,1628.0,1432,1890,923.0,2397.0,3320.0,1787,645.0,374.0,1060.0,1657,8150,15.57,2001-02,1,0,0,0,0,5.0,44,38,0.537,8   ,29-25,12-12,27-14,17-24,1-4 ,1610612753,1383.590857900475
Philadelphia 76ers,2728,6249,214.0,711.0,1595,2022,1015.0,2424.0,3439.0,1616,684.0,327.0,1123.0,1517,7265,14.12,2001-02,1,0,0,0,0,7.0,43,39,0.524,9   ,31-23,14-11,22-19,21-20,2-0 ,1610612755,1419.2022999552048
Phoenix Suns,2880,6438,335.0,1029.0,1140,1494,1004.0,2254.0,3258.0,1740,637.0,383.0,1073.0,1581,7235,14.47,2001-02,0,0,0,0,0,,36,46,0.439,25  ,24-28,12-12,23-18,13-28,3-3 ,1610612756,1329.3977623539552
Portland Trail Blazers,2889,6391,464.0,1306.0,1395,1812,995.0,2298.0,3293.0,1857,672.0,332.0,1057.0,1465,7637,15.72,2001-02,1,0,0,0,0,6.0,49,33,0.598,12  ,27-25,14-10,30-11,19-22,3-2 ,1610612757,1471.0054949002774
Sacramento Kings,3137,6685,420.0,1129.0,1571,2072,947.0,2616.0,3563.0,1885,708.0,360.0,1029.0,1468,8265,19.23,2001-02,1,1,1,0,0,3.0,61,21,0.744,--  ,37-15,15-9 ,36-5 ,25-16,1-2 ,1610612758,1633.390652411807
San Antonio Spurs,2794,6066,429.0,1173.0,1629,2184,835.0,2461.0,3296.0,1596,583.0,513.0,1068.0,1435,7646,15.35,2001-02,1,1,0,0,0,4.0,58,24,0.707,3   ,38-14,21-3 ,32-9 ,26-15,2-5 ,1610612759,1567.7890629780418
Toronto Raptors,2763,6365,345.0,997.0,1209,1631,1063.0,2224.0,3287.0,1672,656.0,434.0,1044.0,1658,7080,14.03,2001-02,1,0,0,0,0,7.0,42,40,0.512,10  ,29-25,17-11,24-17,18-23,3-0 ,1610612761,1429.3426214923416
Utah Jazz,2805,6231,277.0,824.0,1840,2410,1099.0,2316.0,3415.0,1963,726.0,514.0,1258.0,1882,7727,14.1,2001-02,1,0,0,0,0,8.0,44,38,0.537,17  ,25-27,8-16 ,25-16,19-22,1-4 ,1610612762,1421.6355818038332
Washington Wizards,2895,6569,301.0,772.0,1406,1836,1030.0,2366.0,3396.0,1698,557.0,349.0,985.0,1732,7497,14.89,2001-02,0,0,0,0,0,,37,45,0.451,15  ,25-29,12-13,22-19,15-26,2-0 ,1610612764,1322.2973935238629
Atlanta Hawks,2788,6444,332.0,922.0,1328,1752,991.0,2416.0,3407.0,1496,598.0,361.0,1247.0,1762,7236,14.37,2000-01,0,0,0,0,0,,25,57,0.305,31  ,16-38,9-19 ,18-23,7-34 ,0-2 ,1610612737,1223.649137720587
Boston Celtics,2576,5945,528.0,1443.0,1504,2020,814.0,2151.0,2965.0,1529,705.0,316.0,1121.0,1677,7184,13.54,2000-01,0,0,0,0,0,,36,46,0.439,20  ,24-30,11-13,20-21,16-25,4-2 ,1610612738,1352.307878908643
Brooklyn Nets,2634,6129,345.0,1035.0,1553,2024,813.0,2074.0,2887.0,1468,603.0,360.0,1050.0,1799,7166,13.45,2000-01,0,0,0,0,0,,26,56,0.317,30  ,16-38,8-16 ,18-23,8-33 ,1-1 ,1610612751,1218.3464772644593
Charlotte Hornets,2671,6180,324.0,934.0,1540,2067,975.0,2485.0,3460.0,1827,644.0,444.0,1057.0,1623,7206,15.72,2000-01,1,1,0,0,0,12.0,46,36,0.561,10  ,37-17,20-8 ,28-13,18-23,3-3 ,1610612766,1483.4224030789137
