iter	Passed	Remaining
786	5591	1513
787	5598	1506
788	5605	1498
789	5612	1491
790	5618	1484
791	5625	1477
792	5633	1470
793	5640	1463
794	5647	1456
795	5654	1449
796	5661	1442
797	5668	1434
798	5675	1427
799	5682	1420
800	5689	1413
801	5696	1406
802	5703	1399
803	5710	1392
804	5717	1385
805	5725	1378
806	5732	1370
807	5739	1363
808	5746	1356
809	5753	1349
810	5760	1342
811	5766	1335
812	5774	1328
813	5781	1321
814	5788	1313
815	5795	1306
816	5802	1299
817	5809	1292
818	5816	1285
819	5823	1278
820	5830	1271
821	5837	1264
822	5844	1257
823	5852	1250
824	5860	1243
825	5869	1236
826	5878	1229
827	5885	1222
828	5893	1215
829	5900	1208
830	5907	1201
831	5914	1194
832	5921	1187
833	5928	1180
834	5935	1172
835	5944	1166
836	5950	1158
837	5958	1151
838	5965	1144
839	5972	1137
840	5979	1130
841	5986	1123
842	5993	1116
843	6000	1109
844	6007	1101
845	6014	1094
846	6021	1087
847	6028	1080
848	6035	1073
849	6042	1066
850	6051	1059
851	6058	1052
852	6065	1045
853	6072	1038
854	6079	1031
855	6086	1023
856	6093	1016
857	6100	1009
858	6107	1002
859	6114	995
860	6122	988
861	6128	981
862	6135	974
863	6143	967
864	6150	959
865	6157	952
866	6165	945
867	6172	938
868	6179	931
869	6186	924
870	6193	917
871	6200	910
872	6207	903
873	6214	895
874	6221	888
875	6228	881
876	6235	874
877	6242	867
878	6249	860
879	6256	853
880	6263	846
881	6270	838
882	6277	831
883	6284	824
884	6291	817
885	6298	810
886	6305	803
887	6313	796
888	6319	789
889	6326	781
890	6334	774
891	6341	767
892	6348	760
893	6355	753
894	6362	746
895	6369	739
896	6376	732
897	6383	725
898	6390	717
899	6397	710
900	6404	703
901	6411	696
902	6418	689
903	6425	682
904	6432	675
905	6439	668
906	6446	661
907	6453	653
908	6460	646
909	6467	639
910	6474	632
911	6481	625
912	6488	618
913	6495	611
914	6502	604
915	6509	596
916	6516	589
917	6523	582
918	6530	575
919	6538	568
920	6545	561
921	6552	554
922	6559	547
923	6567	540
924	6574	533
925	6581	525
926	6588	518
927	6595	511
928	6602	504
929	6609	497
930	6616	490
931	6623	483
932	6630	476
933	6637	469
934	6645	461
935	6651	454
936	6659	447
937	6666	440
938	6674	433
939	6680	426
940	6687	419
941	6694	412
942	6701	405
943	6709	397
944	6716	390
945	6723	383
946	6730	376
947	6738	369
948	6745	362
949	6751	355
950	6758	348
951	6766	341
952	6772	334
953	6779	326
954	6786	319
955	6793	312
956	6800	305
957	6807	298
