iter	RMSE
649	2769030.663
650	2767748.803
651	2766494.64
652	2765738.232
653	2764017.658
654	2762691.519
655	2761441.58
656	2759857.144
657	2758673.38
658	2756507.526
659	2755107.669
660	2753042.516
661	2751915.143
662	2750025.244
663	2748693.062
664	2747430.731
665	2746030.713
666	2744239.365
667	2742976.423
668	2741714.975
669	2739984.458
670	2737511.562
671	2735967.306
672	2734015.251
673	2733045.73
674	2731444.75
675	2730455.229
676	2729199.829
677	2728263.044
678	2727828.926
679	2725627.884
680	2724606.872
681	2723170.177
682	2721986.471
683	2721048.621
684	2719978.417
685	2719056.35
686	2718209.041
687	2715928.116
688	2714265.276
689	2712570.912
690	2711298.639
691	2709298.434
692	2707515.21
693	2706457.636
694	2703755.644
695	2703468.883
696	2702048.506
697	2701276.463
698	2700525.894
699	2699989.512
700	2698944.157
701	2698289.683
702	2696360.209
703	2694929.648
704	2694265.505
705	2692957.722
706	2691292.226
707	2690825.648
708	2689321.133
709	2688466.203
710	2685982.971
711	2684037.804
712	2682413.631
713	2680631.493
714	2679706.293
715	2679044.414
716	2677172.286
717	2674743.652
718	2673840.772
719	2672150.291
720	2671178.004
721	2670433.582
722	2669716.132
723	2669307.466
724	2667668.605
725	2666248.312
726	2664679.219
727	2662943.138
728	2661552.677
729	2660722.619
730	2659580.286
731	2658536.135
732	2657473.393
733	2655719.642
734	2653953.815
735	2653271.866
736	2652905.62
737	2650056.51
738	2647534.756
739	2646082.249
740	2644654.614
741	2643148.85
742	2641192.624
743	2639437.064
744	2638726.564
745	2636616.254
746	2635265.641
747	2633351.583
748	2632085.824
749	2631183.289
750	2630205.677
751	2629332.124
752	2627796.971
753	2626589.093
754	2625249.193
755	2624070.007
756	2623153.616
757	2622081.531
758	2621868.483
759	2620241.233
760	2619088.855
761	2617413.391
762	2616695.818
763	2615253.124
764	2614167.764
765	2612868.051
766	2610882.858
767	2607988.447
768	2606501.325
769	2604322.539
770	2602545.361
771	2600387.382
772	2599796.562
773	2599175.371
774	2597839.188
775	2596070.522
776	2594218.757
777	2593624.72
778	2592252.301
779	2591158.77
780	2589721.953
781	2588728.203
782	2587212.38
783	2586084.779
784	2585344.392
785	2584190.194
786	2583245.732
787	2582079.89
788	2580928.781
789	2579539.814
790	2577642.204
791	2576590.203
792	2576067.407
793	2574538.45
794	2572897.087
795	2571845.934
796	2570561.675
797	2568183.405
798	2567077.736
799	2565847.831
800	2564555.559
801	2563885.2
802	2562566.396
803	2561457.64
804	2560923.342
805	2559577.254
806	2558633.002
807	2557366.882
808	2556613.408
809	2555082.411
810	2553615.78
811	2552012.893
812	2550333.994
813	2547992.311
814	2547347.068
815	2546381.375
816	2545031.127
817	2543505.174
818	2542959.798
819	2541610.283
820	2539339.794
821	2538681.805
822	2538010.784
823	2536799.501
824	2535197.031
825	2533742.29
826	2531660.596
827	2530366.368
828	2529016.789
829	2528001.049
830	2527218.404
831	2526112.62
832	2524767.09
833	2523761.866
834	2523406.21
835	2522210.689
836	2520980.834
837	2519726.923
838	2519097.54
839	2517379.146
840	2516503.353
841	2515869.959
842	2515034.417
843	2513622.706
844	2511474.9
845	2510298.861
846	2508163.292
847	2506986.514
848	2505358.329
849	2504164.094
850	2503403.022
851	2501691.057
852	2499791.149
853	2499320.831
854	2498582.786
855	2497180.862
856	2495965.202
857	2494333.069
858	2493885.282
859	2493078.564
860	2491719.313
861	2490036.236
862	2488487.879
863	2486909.835
864	2486081.42
865	2484476.789
866	2483478.677
867	2483060.151
868	2480465.581
869	2478994.481
870	2477696.361
871	2477039.494
872	2475585.198
873	2474051.258
874	2473068.49
875	2470831.257
876	2469884.474
877	2469351.283
878	2468178.239
879	2466864.674
880	2465828.095
881	2464931.787
882	2463958.944
883	2462456.876
884	2460863.108
885	2460133.197
886	2458995.35
887	2457622.887
888	2455846.554
889	2454694.715
890	2453208.631
891	2451883.034
892	2450479.768
893	2449362.458
894	2448006.61
895	2446553.613
896	2445886.02
897	2444146.982
898	2443254.491
899	2442478.76
900	2441532.808
901	2439952.433
902	2438499.508
903	2437385.174
904	2435997.556
905	2433665.179
906	2432011.819
907	2431776.878
908	2430098.372
909	2429353.543
910	2428161.206
911	2427480.937
912	2425674.506
913	2425275.896
914	2424633.819
915	2424007.02
916	2422953.621
917	2421796.717
918	2420860.287
919	2420014.058
920	2419314.105
921	2418361.432
922	2417502.159
923	2416286.882
924	2415242.908
925	2414351.956
926	2414096.608
927	2413358.885
928	2411097.773
929	2409616.183
930	2407289.052
931	2406603.512
932	2405817.489
933	2404985.31
934	2404308.771
935	2403086.341
936	2402006.779
937	2400664.05
938	2399634.187
939	2398918.988
940	2397405.639
941	2396553.272
942	2395467.067
943	2395010.883
944	2393714.762
945	2392692.799
946	2391863.273
947	2391060.928
948	2389702.384
949	2388587.31
950	2387178.151
951	2386563.812
952	2385678.014
953	2384440.235
954	2383207.586
955	2382667.912
956	2381982.707
957	2381016.968
958	2380053.649
959	2379086.225
960	2377953.53
961	2376867.424
962	2376389.977
963	2375764.235
964	2374936.439
965	2374437.209
966	2373360.024
967	2372314.179
968	2371241.709
969	2370399.443
970	2369897.128
971	2368400.098
972	2367788.121
973	2366153.959
974	2365058.594
975	2364651.833
976	2363912.777
977	2363010.87
978	2361825.206
979	2360869.304
980	2359313.274
981	2358347.448
982	2357034.363
983	2355528.423
984	2354395.446
985	2353315.238
986	2352463.262
987	2351558.188
988	2350496.777
989	2350073.031
990	2348914.402
991	2347566.397
992	2346370.117
993	2345065.632
994	2343710.548
995	2342594.049
996	2342115.46
997	2340469.068
998	2339567.774
999	2338914.271
