SEASON,TEAM,MONTH,ELO,GP,MIN,PTS,W,L,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF
2021-22,Oklahoma City Thunder,December,1255.3874297673633,49.0,2357.0,4934.0,15.0,34.0,1820.0,4372.0,575.0,1848.0,719.0,940.0,507.0,1739.0,2246.0,1026.0,654.0,367.0,224.0,898.0
2021-22,Oklahoma City Thunder,January,1243.0635564648348,58.0,2799.0,5870.0,18.0,40.0,2167.0,5188.0,682.0,2177.0,854.0,1121.0,614.0,2061.0,2675.0,1243.0,782.0,434.0,270.0,1053.0
2021-22,Oklahoma City Thunder,November,1191.6217572350324,35.0,1680.0,3507.0,13.0,22.0,1288.0,3111.0,406.0,1310.0,525.0,695.0,354.0,1265.0,1619.0,712.0,471.0,247.0,166.0,627.0
2021-22,Orlando Magic,December,1214.6292156320974,51.0,2453.0,5230.0,11.0,40.0,1921.0,4450.0,598.0,1828.0,790.0,1009.0,471.0,1746.0,2217.0,1159.0,755.0,349.0,245.0,1023.0
2021-22,Orlando Magic,January,1193.6391975266968,60.0,2885.0,6199.0,13.0,47.0,2277.0,5259.0,716.0,2170.0,929.0,1180.0,544.0,2060.0,2604.0,1394.0,880.0,412.0,283.0,1178.0
2021-22,Orlando Magic,November,1191.639305395877,36.0,1728.0,3661.0,7.0,29.0,1341.0,3144.0,430.0,1328.0,549.0,706.0,348.0,1229.0,1577.0,790.0,535.0,238.0,170.0,710.0
2021-22,Philadelphia 76ers,December,1493.148980861204,50.0,2420.0,5394.0,31.0,19.0,1978.0,4263.0,553.0,1558.0,885.0,1091.0,426.0,1689.0,2115.0,1155.0,634.0,391.0,287.0,954.0
2021-22,Philadelphia 76ers,January,1488.1434859587996,57.0,2756.0,6113.0,34.0,23.0,2238.0,4849.0,620.0,1748.0,1017.0,1252.0,487.0,1922.0,2409.0,1314.0,711.0,437.0,322.0,1089.0
2021-22,Philadelphia 76ers,November,1507.791152238648,35.0,1695.0,3713.0,19.0,16.0,1358.0,2976.0,387.0,1104.0,610.0,746.0,286.0,1174.0,1460.0,782.0,429.0,279.0,208.0,671.0
2021-22,Phoenix Suns,December,1647.7369456847005,49.0,2357.0,5530.0,40.0,9.0,2092.0,4385.0,569.0,1552.0,777.0,979.0,498.0,1760.0,2258.0,1296.0,652.0,421.0,208.0,948.0
2021-22,Phoenix Suns,January,1587.2313215645602,58.0,2789.0,6592.0,48.0,10.0,2506.0,5204.0,654.0,1817.0,926.0,1170.0,587.0,2092.0,2679.0,1568.0,751.0,495.0,246.0,1114.0
2021-22,Phoenix Suns,November,1535.4600659197058,35.0,1685.0,3910.0,27.0,8.0,1481.0,3123.0,403.0,1110.0,545.0,683.0,340.0,1258.0,1598.0,906.0,484.0,303.0,143.0,673.0
2021-22,Portland Trail Blazers,December,1297.0553482924865,51.0,2453.0,5528.0,21.0,30.0,1988.0,4407.0,697.0,1937.0,855.0,1113.0,499.0,1715.0,2214.0,1158.0,709.0,384.0,239.0,1015.0
2021-22,Portland Trail Blazers,January,1394.9544420404168,59.0,2837.0,6381.0,25.0,34.0,2306.0,5139.0,798.0,2242.0,971.0,1275.0,607.0,1996.0,2603.0,1353.0,817.0,449.0,273.0,1178.0
2021-22,Portland Trail Blazers,November,1396.6947484164807,35.0,1685.0,3788.0,13.0,22.0,1363.0,3050.0,463.0,1326.0,599.0,762.0,352.0,1180.0,1532.0,789.0,486.0,261.0,165.0,693.0
2021-22,Sacramento Kings,December,1276.6474915317453,52.0,2511.0,5681.0,18.0,34.0,2102.0,4650.0,607.0,1771.0,870.0,1156.0,543.0,1748.0,2291.0,1194.0,726.0,370.0,243.0,1011.0
2021-22,Sacramento Kings,January,1407.5597632388594,60.0,2895.0,6592.0,22.0,38.0,2434.0,5332.0,698.0,2024.0,1026.0,1341.0,610.0,2011.0,2621.0,1400.0,850.0,433.0,276.0,1147.0
2021-22,Sacramento Kings,November,1473.665006425496,37.0,1791.0,4046.0,15.0,22.0,1495.0,3318.0,433.0,1271.0,623.0,821.0,389.0,1251.0,1640.0,832.0,532.0,267.0,182.0,721.0
2021-22,San Antonio Spurs,December,1310.4487025754709,51.0,2463.0,5675.0,19.0,32.0,2213.0,4774.0,564.0,1605.0,685.0,928.0,576.0,1767.0,2343.0,1422.0,643.0,385.0,263.0,905.0
2021-22,San Antonio Spurs,January,1273.9649521564136,59.0,2847.0,6596.0,23.0,36.0,2562.0,5498.0,657.0,1855.0,815.0,1097.0,649.0,2026.0,2675.0,1653.0,740.0,455.0,302.0,1053.0
2021-22,San Antonio Spurs,November,1294.9792591116393,34.0,1637.0,3786.0,14.0,20.0,1483.0,3159.0,368.0,1024.0,452.0,623.0,367.0,1196.0,1563.0,966.0,432.0,273.0,173.0,589.0
2021-22,Toronto Raptors,December,1499.1627025237563,48.0,2324.0,5158.0,25.0,23.0,1912.0,4371.0,589.0,1693.0,745.0,988.0,630.0,1520.0,2150.0,1054.0,610.0,445.0,239.0,952.0
2021-22,Toronto Raptors,January,1372.7902209199096,57.0,2761.0,6194.0,32.0,25.0,2296.0,5186.0,703.0,1984.0,899.0,1186.0,749.0,1807.0,2556.0,1252.0,728.0,526.0,273.0,1129.0
2021-22,Toronto Raptors,November,1357.3943704677201,32.0,1541.0,3409.0,15.0,17.0,1280.0,2922.0,373.0,1096.0,476.0,623.0,415.0,1014.0,1429.0,692.0,400.0,292.0,150.0,628.0
2021-22,Utah Jazz,December,1440.8306558175107,51.0,2448.0,5790.0,30.0,21.0,2064.0,4380.0,748.0,2055.0,914.0,1176.0,519.0,1822.0,2341.0,1123.0,732.0,359.0,246.0,970.0
2021-22,Utah Jazz,January,1513.6511308127272,58.0,2784.0,6597.0,36.0,22.0,2360.0,4990.0,843.0,2335.0,1034.0,1321.0,593.0,2080.0,2673.0,1295.0,823.0,414.0,286.0,1098.0
2021-22,Utah Jazz,November,1515.7234084567433,35.0,1680.0,4061.0,26.0,9.0,1450.0,3033.0,526.0,1442.0,635.0,826.0,369.0,1298.0,1667.0,792.0,513.0,248.0,186.0,659.0
2021-22,Washington Wizards,December,1318.3893308736338,49.0,2372.0,5274.0,23.0,26.0,1964.0,4220.0,494.0,1524.0,852.0,1096.0,448.0,1724.0,2172.0,1180.0,656.0,301.0,248.0,925.0
2021-22,Washington Wizards,January,1412.9368019405365,57.0,2756.0,6092.0,26.0,31.0,2270.0,4906.0,577.0,1771.0,975.0,1250.0,527.0,1974.0,2501.0,1367.0,754.0,357.0,276.0,1068.0
2021-22,Washington Wizards,November,1360.0894431323372,35.0,1700.0,3715.0,18.0,17.0,1397.0,3005.0,354.0,1084.0,567.0,745.0,319.0,1229.0,1548.0,835.0,467.0,222.0,175.0,670.0
